symbol,status,rows,first_date,last_date
002463,ready,813,2023-05-04,2026-09-04
688183,ready,813,2023-05-04,2026-09-04
002837,ready,813,2023-05-04,2026-09-04
688008,ready,813,2023-05-04,2026-09-04
300548,ready,813,2023-05-04,2026-09-04
002156,ready,813,2023-05-04,2026-09-04
603629,ready,813,2023-05-04,2026-09-04
300017,ready,813,2023-05-04,2026-09-04
601899,ready,813,2023-05-04,2026-09-04
600150,ready,799,2023-05-04,2026-09-04
601872,ready,813,2023-05-04,2026-09-04
600426,ready,813,2023-05-04,2026-09-04
688676,ready,813,2023-05-04,2026-09-04
301291,ready,774,2023-06-30,2026-09-04
600522,ready,813,2023-05-04,2026-09-04
002594,ready,813,2023-05-04,2026-09-04
300274,ready,813,2023-05-04,2026-09-04
002709,ready,813,2023-05-04,2026-09-04
601012,ready,813,2023-05-04,2026-09-04
300408,ready,813,2023-05-04,2026-09-04
300782,ready,813,2023-05-04,2026-09-04
300133,ready,813,2023-05-04,2026-09-04
600026,ready,813,2023-05-04,2026-09-04
600938,ready,813,2023-05-04,2026-09-04
600900,ready,813,2023-05-04,2026-09-04
002281,ready,813,2023-05-04,2026-09-04
601939,ready,813,2023-05-04,2026-09-04
515180,ready,813,2023-05-04,2026-09-04
000300,ready,813,2023-05-04,2026-09-04
