symbol,entry_date,exit_date,entry_price,exit_price,return,exit_reasons
002156,2023-09-05,2023-09-14,20.862,19.592,-0.06087623430160094,hard_stop
300782,2023-09-04,2023-09-15,123.674,121.464,-0.017869560295615927,trend_break
300548,2023-09-08,2023-09-18,28.05,29.6,0.05525846702317283,trailing_profit_protection
002594,2023-09-05,2023-09-22,81.351,77.125,-0.051947732664626156,trend_break+hard_stop
688008,2023-09-05,2023-09-22,50.233,48.433,-0.03583301813548856,trend_break
601012,2023-10-09,2023-10-19,26.98,25.44,-0.057079318013343205,trend_break+hard_stop
688008,2023-10-16,2023-10-20,51.363,48.913,-0.04769970601405682,hard_stop
300782,2023-10-17,2023-10-23,127.074,120.674,-0.05036435462801192,hard_stop
002709,2023-11-01,2023-11-22,26.993,26.023,-0.035935242470270023,trend_break
301291,2023-11-03,2023-11-22,27.6,27.35,-0.009057971014492794,trend_break
002281,2023-11-10,2023-11-23,28.96,27.2,-0.06077348066298349,trend_break+hard_stop
300274,2023-11-17,2023-11-27,58.929,56.773,-0.03658640058375329,trend_break
300548,2023-11-27,2023-12-01,26.51,25.95,-0.021124104111656106,trend_break
002281,2023-12-06,2023-12-20,29.0,28.26,-0.02551724137931033,trend_break
300548,2023-12-18,2023-12-21,28.43,26.56,-0.0657755891663736,trend_break+hard_stop
300782,2023-12-15,2023-12-26,143.174,139.324,-0.026890357187757563,trend_break
002594,2024-01-02,2024-01-09,63.821,60.951,-0.04496952413782296,hard_stop
002709,2024-01-05,2024-01-09,22.813,21.613,-0.05260158681453553,trend_break+hard_stop
603629,2024-01-08,2024-01-09,20.453,18.879,-0.07695692563438117,trend_break+hard_stop
300274,2023-12-26,2024-01-10,55.505,54.839,-0.011998919016304899,trend_break
002594,2024-01-10,2024-01-18,61.185,59.168,-0.032965596142845555,trend_break
301291,2024-01-22,2024-01-23,28.6,27.46,-0.03986013986013992,hard_stop
601012,2023-12-26,2024-01-25,21.05,21.49,0.020902612826603217,trend_break
300274,2024-01-18,2024-01-30,58.084,53.929,-0.07153432959162598,trend_break+hard_stop
300548,2024-01-29,2024-01-30,24.75,22.65,-0.08484848484848495,trend_break+hard_stop
301291,2024-02-28,2024-02-29,28.01,26.11,-0.06783291681542314,hard_stop
300408,2024-02-21,2024-03-05,23.022,24.592,0.0681956389540439,divergence_take_profit
300548,2024-02-29,2024-03-06,23.14,26.22,0.13310285220397566,divergence_take_profit
688008,2024-02-22,2024-03-06,49.833,53.203,0.06762587040715995,divergence_take_profit
300782,2024-02-27,2024-03-07,98.574,111.644,0.1325907440095766,divergence_take_profit
002594,2024-02-22,2024-03-18,58.251,67.901,0.1656623920619389,divergence_take_profit
688008,2024-03-08,2024-03-20,50.213,47.583,-0.05237687451456796,trend_break+hard_stop
002709,2024-03-08,2024-03-25,18.543,19.903,0.07334304050045826,trailing_profit_protection
300408,2024-03-07,2024-03-25,24.302,24.072,-0.009464241626203629,trend_break
300782,2024-03-22,2024-03-25,108.674,105.324,-0.03082614056720101,trend_break
300548,2024-05-06,2024-05-08,23.91,22.74,-0.04893350062735269,hard_stop
002156,2024-05-07,2024-05-13,20.982,19.672,-0.06243446763892857,hard_stop
300782,2024-05-10,2024-05-14,91.974,88.284,-0.040120033922630305,hard_stop
300274,2024-05-06,2024-05-15,73.199,74.624,0.019467479063921544,hard_stop
688008,2024-04-19,2024-05-15,45.763,48.803,0.06642921137163205,divergence_take_profit
688008,2024-05-30,2024-06-07,51.313,50.579,-0.014304367314325828,trend_break
300782,2024-06-06,2024-06-11,89.574,85.298,-0.047737066559492725,hard_stop
300782,2024-06-12,2024-06-25,89.468,83.258,-0.06941029194795911,trend_break+hard_stop
002281,2024-06-20,2024-07-01,34.62,37.06,0.07047949162333933,divergence_take_profit
688008,2024-06-26,2024-07-04,54.409,55.089,0.012497932327372396,trend_break
600150,2024-07-08,2024-07-26,39.325,39.195,-0.0033057851239669533,trend_break
300782,2024-07-19,2024-07-30,76.598,72.498,-0.05352620172850464,trend_break+hard_stop
301291,2024-07-17,2024-08-02,29.92,30.58,0.022058823529411686,trend_break
601012,2024-07-18,2024-08-20,13.95,13.55,-0.028673835125447966,trend_break
002463,2024-08-20,2024-08-28,32.97,30.99,-0.060054595086442286,hard_stop
300274,2024-08-29,2024-09-04,67.945,72.895,0.07285304290234751,divergence_take_profit
600938,2024-08-30,2024-09-05,26.624,24.324,-0.08638822115384603,trend_break+hard_stop
301291,2024-09-05,2024-09-09,29.86,28.55,-0.043871399866041494,hard_stop
002594,2024-08-23,2024-10-10,78.251,101.651,0.29903771197812157,divergence_take_profit+trailing_profit_protection
301291,2024-09-23,2024-10-10,29.61,35.81,0.20938872002701792,trailing_profit_protection
600938,2024-09-26,2024-10-10,25.634,26.334,0.02730748225013646,trailing_profit_protection
002594,2024-10-17,2024-10-18,95.821,94.801,-0.01064484820655176,trend_break
600150,2024-10-16,2024-10-23,38.285,38.405,0.00313438683557532,trend_break
600938,2024-10-16,2024-10-23,26.234,26.6,0.013951360829457915,trend_break
603629,2024-10-14,2024-11-04,11.268,11.368,0.008874689385871548,trend_break
688676,2024-10-14,2024-11-04,30.809,34.119,0.10743613879061309,trend_break
300782,2024-12-16,2024-12-17,96.858,94.878,-0.020442296970823337,trend_break
688008,2024-12-24,2025-01-02,70.039,66.859,-0.04540327531803723,trend_break+hard_stop
002594,2024-12-19,2025-01-03,92.254,88.817,-0.03725583714527292,trend_break
002463,2024-12-23,2025-01-16,38.08,37.94,-0.003676470588235281,trend_break
301291,2025-01-14,2025-01-16,45.7,43.59,-0.0461706783369803,hard_stop
300274,2025-01-22,2025-02-05,72.955,69.255,-0.050716194914673496,hard_stop
002463,2025-02-05,2025-02-06,39.75,36.52,-0.08125786163522009,trend_break+hard_stop
002594,2025-01-21,2025-02-14,93.317,112.157,0.20189247404010002,divergence_take_profit
300782,2025-02-12,2025-02-18,82.808,90.348,0.0910540044440149,trailing_profit_protection
600150,2025-02-07,2025-02-19,33.235,31.735,-0.04513314277117497,trend_break+hard_stop
