recipe_id,factor_mode,full_total_return,full_cagr,full_annual_volatility,full_sharpe_log_excess,full_maximum_drawdown,full_annual_one_way_turnover,full_transaction_cost_paid,double_cost_full_sharpe,delay_two_full_sharpe,phase_sharpes,worst_timing_perturbation_sharpe,minimum_robustness_sharpe,fold_sharpes,minimum_fold_sharpe,fold_sharpe_25th_percentile,median_fold_sharpe,positive_fold_share,stable_selected_factor_share,selection_gate_passed,failure_reasons
r9_stable_pullback30_vol_target,fixed,1.5327683592969223,0.37884193806001787,0.2588070376331185,1.1795075469775778,-0.23680756725260177,1.7803172670626166,0.006202673201869718,1.1710529235648863,1.1387530653717604,"{""0"": 1.1795075469775778, ""10"": 1.2976750690332577, ""20"": 1.2254372345873452}",1.1387530653717604,1.1387530653717604,"[1.4044828420233564, 0.23342129597377334, 0.7669366951393088, 1.221978724148694, 2.4279208952036258, 1.085916038031673]",0.23342129597377334,0.8466815308623998,1.1539473810901835,1.0,0.25,True,
r3_stable_trend_pullback20,fixed,1.305747935671259,0.33480072705327735,0.25117827115320235,1.0848892772933438,-0.20597485127217097,2.8668370122250035,0.011096030191145514,1.0697051688734127,1.0549187923508774,"{""0"": 1.0848892772933438, ""13"": 1.1598536230941672, ""7"": 1.1901402832681445}",1.0549187923508774,1.0549187923508774,"[1.7722138247406374, -0.15427934377945252, 0.7407874919520453, 1.9078704238884674, 2.361406368164726, 0.10403140729035298]",-0.15427934377945252,0.2632204284557761,1.2565006583463414,0.8333333333333334,0.25,True,
r7_dynamic_ic20,trailing_positive_rank_ic,1.2978641378547433,0.33322130006475104,0.24636238147975412,1.1015096551680006,-0.21488175185283864,2.3908374164777855,0.009053828699891693,1.0886676627766723,1.0389546149301718,"{""0"": 1.1015096551680006, ""13"": 1.0877826566470123, ""7"": 1.036787169062754}",1.036787169062754,1.036787169062754,"[1.1465618764225065, -0.049907906178263683, 0.5955221116557788, 1.406518390435482, 2.6192329771867797, 0.8245142398868235]",-0.049907906178263683,0.65277014371354,0.985538058154665,0.8333333333333334,0.375,True,
r8_dynamic_ic20_vol_target,trailing_positive_rank_ic,1.3122260850430898,0.33609590611906937,0.24434114462598333,1.1197382094373218,-0.20987214743930183,2.455583727340608,0.009081612287902649,1.1067840356217171,1.0595333765344104,"{""0"": 1.1197382094373218, ""13"": 1.095682603430279, ""7"": 1.0333764309823408}",1.0333764309823408,1.0333764309823408,"[1.1465618764225065, -0.049907906178263683, 0.6464815915215759, 1.406518390435482, 2.6192329771867797, 0.8240548625417454]",-0.049907906178263683,0.6908749092766183,0.985308369482126,0.8333333333333334,0.375,True,
r6_contraction_trend20,fixed,1.3994067358368407,0.3532995320747374,0.23896451887450607,1.1972628368670584,-0.16545194493596427,2.5188556238198188,0.009612103068335914,1.1834962203688568,1.1607941600533838,"{""0"": 1.1972628368670584, ""13"": 0.9806119739817792, ""7"": 1.0948273046049812}",0.9806119739817792,0.9806119739817792,"[0.7885570319401736, 0.6028610212212545, 1.1437413581089158, 1.3176965556067712, 2.590096370049971, 0.5647983638819242]",0.5647983638819242,0.6492850239009843,0.9661491950245447,1.0,0.4,True,
r5_residual_lowbeta20,fixed,1.220860438011103,0.3176046825817471,0.24539288702281312,1.0572780611398098,-0.2184363732434158,2.154864560404237,0.008020367512865197,1.0456218545596025,0.9549760012151866,"{""0"": 1.0572780611398098, ""13"": 1.041006248976595, ""7"": 1.0650694456124876}",0.9549760012151866,0.9549760012151866,"[0.7329265566421512, 0.015412134459585508, 0.6836466387261914, 1.5341305467108675, 3.381142663836842, 0.45195265207151264]",0.015412134459585508,0.5098761487351823,0.7082865976841712,1.0,0.2,True,
r4_long_efficient_trend20,fixed,1.097676957927499,0.29186842654027,0.2616876392316012,0.9120766953815572,-0.2388059099737493,2.232046260979118,0.008325453728551901,0.9012254964314638,0.872048831704441,"{""0"": 0.9120766953815572, ""13"": 1.0740071921691658, ""7"": 1.1985997409999118}",0.872048831704441,0.872048831704441,"[0.5549289648451374, -0.14580473351987827, 0.9119249472179526, 1.5400766665232195, 2.1602762980569814, 0.20832223411111755]",-0.14580473351987827,0.29497391679462254,0.733426956031545,0.8333333333333334,0.4,True,
r2_v1_1_slow30,fixed,1.8090133354882814,0.42907701741208903,0.28436788344605285,1.2019721293843686,-0.2662757299166685,2.5248218263164284,0.009677386563745592,1.189717099176057,1.195219691382415,"{""0"": 1.2019721293843686, ""10"": 1.2301053972164546, ""20"": 1.0933184598992767}",1.0933184598992767,1.0933184598992767,"[2.1513977919805525, 0.3002245032762689, 0.5369319788562766, 1.2112576802294985, 1.8658124223248227, 1.5800523245279843]",0.3002245032762689,0.7055134041995821,1.3956550023787413,1.0,0.25,False,drawdown
r1_v1_1_slow20,fixed,1.400260185805065,0.3534659080467628,0.27451246813996333,1.0406413240156036,-0.2725744012520287,3.73701200492469,0.014811792345504872,1.022156340991161,1.0153569576549097,"{""0"": 1.0406413240156036, ""13"": 1.4790073835877444, ""7"": 1.1915051482949623}",1.0153569576549097,1.0153569576549097,"[1.4193124600920533, 0.6122256992543532, 0.743753626118321, 1.814698810030301, 2.2224296734597773, -0.07552783992984345]",-0.07552783992984345,0.6451076809703451,1.081533043105187,0.8333333333333334,0.25,False,drawdown
r0_v1_1_corrected_control,fixed,1.7801945121336211,0.42399174029617437,0.27242562699447054,1.240153023518741,-0.23349992341315784,6.30302270232667,0.02585200337841518,1.207609324793812,1.3220840224434247,"{""0"": 1.240153023518741, ""3"": 1.2543605652141447, ""7"": 0.9076252430585466}",0.9076252430585466,0.9076252430585466,"[1.3422391988616074, 0.26794984851256554, 0.611112103013664, 1.8850650090826775, 2.758565653570529, 0.736489976218764]",0.26794984851256554,0.642456571314939,1.0393645875401858,1.0,0.25,False,turnover
