factor_id,positive_fold_count,median_fold_mean_rank_ic,worst_fold_mean_rank_ic,best_fold_mean_rank_ic,mean_daily_positive_share
residual_momentum_120,5,0.03287341057298879,-0.07465250305250304,0.09037474310945366,0.5294338664635695
risk_adjusted_momentum_20,5,0.032219493851287764,-0.04457264957264957,0.09271409277353891,0.5754125412541254
trend_efficiency_120,4,0.04558188584287816,-0.05188937728937728,0.16537615398049854,0.5678420919014978
risk_adjusted_momentum_120,4,0.04491471886183484,-0.05814945054945055,0.16939831265422464,0.5636443259710586
positive_day_share_60,4,0.03173169064980435,-0.03745302464671941,0.19667422947898922,0.5967821782178219
trend_120,4,0.008678852169824659,-0.026007326007326005,0.09763630367461121,0.5401195119511951
short_term_reversal_5,4,0.0027414801919752405,-0.04344175824175824,0.024041514041514035,0.4809240924092409
trend_60,3,0.015043544578299345,-0.06396214896214895,0.14553870573870575,0.539092409240924
low_market_correlation_60,3,0.004170451770451768,-0.1380136803597414,0.18840493040732864,0.5202145214521452
risk_adjusted_momentum_60,3,-0.006633699633699636,-0.04787545787545786,0.07836640904750956,0.49899339933993403
trend_efficiency_60,3,-0.007054334554334558,-0.04756410256410255,0.08254693601228255,0.5056435643564356
residual_momentum_60,3,-0.01457505033265002,-0.07366910866910865,0.044840484048404836,0.48409240924092406
low_beta_60,3,-0.02250305250305251,-0.18752396343887082,0.19736529696925736,0.5135478547854785
drawdown_60,3,-0.024404730702162383,-0.10885513393602242,0.18428012269801242,0.5088118811881188
trend_20,2,-0.0009686689851650609,-0.016996336996336993,0.08889450549450549,0.5590594059405941
volatility_contraction_20_60,2,-0.00941207301269118,-0.0707020757020757,0.11433455433455433,0.5208085808580858
low_volatility_60,2,-0.02795787545787545,-0.21440781440781442,0.22050580882264054,0.4918151815181518
drawdown_120,2,-0.03717379395766694,-0.08351140734731509,0.187769641093078,0.5141794179417941
