recipe_id,variant,sharpe_log_excess,maximum_drawdown_magnitude
g0_unconstrained_control,base,1.242849876882425,0.19199599716265536
g0_unconstrained_control,covariance_lookback_90,1.2512123914204316,0.20575568587234816
g0_unconstrained_control,covariance_lookback_150,1.1764982011728407,0.19826427918606782
g0_unconstrained_control,covariance_shrinkage_0.25,1.1488987201154341,0.18607872882484755
g0_unconstrained_control,covariance_shrinkage_0.75,1.2199111280462511,0.21458168783021914
g1_light_25_50_n7,base,1.1443579577389948,0.19639261050289858
g1_light_25_50_n7,covariance_lookback_90,1.1666071170879477,0.19648604978005746
g1_light_25_50_n7,covariance_lookback_150,1.1279000963346613,0.1970165151487785
g1_light_25_50_n7,covariance_shrinkage_0.25,1.1464622236341424,0.19758979697041346
g1_light_25_50_n7,covariance_shrinkage_0.75,1.1491273673558027,0.19636364229957726
g1_light_25_50_n7,sector_cap_-0.05,1.133757915357022,0.1963926105028987
g1_light_25_50_n7,sector_cap_+0.05,1.1431350425499682,0.19639261050289858
g1_light_25_50_n7,effective_names_-1.0,1.1443579577389948,0.19639261050289858
g1_light_25_50_n7,effective_names_+1.0,1.1440447635311581,0.19639261050289858
g2_balanced_22_45_n8,base,1.1143138109250488,0.20010053615805468
g2_balanced_22_45_n8,covariance_lookback_90,1.1350386186915418,0.19657740189846729
g2_balanced_22_45_n8,covariance_lookback_150,1.1057671497610841,0.20050640608563985
g2_balanced_22_45_n8,covariance_shrinkage_0.25,1.1160323849457474,0.19922246953430278
g2_balanced_22_45_n8,covariance_shrinkage_0.75,1.1243379847240906,0.19877516853777144
g2_balanced_22_45_n8,sector_cap_-0.05,1.1028432560542571,0.1989443038334192
g2_balanced_22_45_n8,sector_cap_+0.05,1.121899109190752,0.20010053615805568
g2_balanced_22_45_n8,effective_names_-1.0,1.1143138109250488,0.20010053615805468
g2_balanced_22_45_n8,effective_names_+1.0,1.1076696616468131,0.19933224060702026
g3_balanced_20_45_n9,base,1.0862013785835558,0.20394149651662308
g3_balanced_20_45_n9,covariance_lookback_90,1.1004558552183215,0.20404434608198863
g3_balanced_20_45_n9,covariance_lookback_150,1.0839968847685422,0.20417755461346476
g3_balanced_20_45_n9,covariance_shrinkage_0.25,1.097539387234856,0.20262626007621198
g3_balanced_20_45_n9,covariance_shrinkage_0.75,1.1052795480524895,0.20359649456605233
g3_balanced_20_45_n9,sector_cap_-0.05,1.0822215562112842,0.20394149651662274
g3_balanced_20_45_n9,sector_cap_+0.05,1.0862013785835558,0.20394149651662308
g3_balanced_20_45_n9,effective_names_-1.0,1.0890887476255788,0.20425202515691943
g3_balanced_20_45_n9,effective_names_+1.0,1.080556057857796,0.20394149651662286
g4_strict_20_40_n9,base,1.0822215562112842,0.20394149651662274
g4_strict_20_40_n9,covariance_lookback_90,1.0816085604526482,0.20746371616181125
g4_strict_20_40_n9,covariance_lookback_150,1.071462402145091,0.20417755461346498
g4_strict_20_40_n9,covariance_shrinkage_0.25,1.0911563721636481,0.20262626007621176
g4_strict_20_40_n9,covariance_shrinkage_0.75,1.0909705839661175,0.20320419279927004
g4_strict_20_40_n9,sector_cap_-0.05,1.0446228994402458,0.2131911228503035
g4_strict_20_40_n9,sector_cap_+0.05,1.0862013785835558,0.20394149651662308
g4_strict_20_40_n9,effective_names_-1.0,1.0822215562112842,0.20394149651662274
g4_strict_20_40_n9,effective_names_+1.0,1.080556057857796,0.20394149651662286
g5_strict_18_40_n10,base,1.06843640196535,0.2089302518819366
g5_strict_18_40_n10,covariance_lookback_90,1.0897126773120673,0.20723951972388255
g5_strict_18_40_n10,covariance_lookback_150,1.0654616229885623,0.20899213522977966
g5_strict_18_40_n10,covariance_shrinkage_0.25,1.0694748592360879,0.20751991390506452
g5_strict_18_40_n10,covariance_shrinkage_0.75,1.0757562350762644,0.20770734825738635
g5_strict_18_40_n10,sector_cap_-0.05,1.0455658445898557,0.2131911228503035
g5_strict_18_40_n10,sector_cap_+0.05,1.06843640196535,0.2089302518819366
g5_strict_18_40_n10,effective_names_-1.0,1.0694240346657053,0.20931487996716713
g5_strict_18_40_n10,effective_names_+1.0,1.0330477902055701,0.21401113148390438
