symbol,status,provider,provider_symbol,rows,first_date,last_date,attempts
002463,ready,tencent_qfq_history,sz002463,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 002463: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=0.002463&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""002463"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 002463: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=0.002463&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""002463"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sz002463"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
688183,ready,tencent_qfq_history,sh688183,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 688183: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=1.688183&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""688183"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 688183: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=1.688183&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""688183"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sh688183"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
002837,ready,tencent_qfq_history,sz002837,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 002837: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=0.002837&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""002837"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 002837: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=0.002837&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""002837"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sz002837"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
688008,ready,tencent_qfq_history,sh688008,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 688008: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=1.688008&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""688008"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 688008: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=1.688008&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""688008"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sh688008"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
300548,ready,tencent_qfq_history,sz300548,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 300548: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=0.300548&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""300548"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 300548: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=0.300548&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""300548"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sz300548"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
002156,ready,tencent_qfq_history,sz002156,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 002156: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=0.002156&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""002156"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 002156: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=0.002156&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""002156"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sz002156"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
603629,ready,tencent_qfq_history,sh603629,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 603629: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=1.603629&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""603629"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 603629: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=1.603629&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""603629"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sh603629"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
300017,ready,tencent_qfq_history,sz300017,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 300017: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=0.300017&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""300017"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 300017: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=0.300017&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""300017"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sz300017"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
601899,ready,tencent_qfq_history,sh601899,813,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 601899: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=1.601899&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""601899"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 601899: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=1.601899&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""601899"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sh601899"", ""rows"": 813, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
600150,ready,tencent_qfq_history,sh600150,799,2023-05-04,2026-09-04,"[{""circuit_breaker_open"": false, ""error"": ""akshare fetch failed for 600150: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61%2Cf116&ut=7eea3edcaed734bea9cbfc24409ed989&klt=101&fqt=1&secid=1.600150&beg=20230501&end=20260904 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""akshare"", ""provider_symbol"": ""600150"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": ""efinance fetch failed for 600150: HTTPSConnectionPool(host='push2his.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/kline/get?fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6%2Cf7%2Cf8%2Cf9%2Cf10%2Cf11%2Cf12%2Cf13&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&beg=20230501&end=20260904&rtntype=6&secid=1.600150&klt=101&fqt=1 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response')))"", ""first_date"": null, ""independent_group"": ""eastmoney"", ""last_date"": null, ""ok"": false, ""provider"": ""efinance"", ""provider_symbol"": ""600150"", ""rows"": 0, ""schema_errors"": [], ""source_family"": ""eastmoney""}, {""circuit_breaker_open"": false, ""error"": null, ""first_date"": ""2023-05-04"", ""independent_group"": ""tencent_finance"", ""last_date"": ""2026-09-04"", ""ok"": true, ""provider"": ""tencent_qfq_history"", ""provider_symbol"": ""sh600150"", ""rows"": 799, ""schema_errors"": [], ""source_family"": ""tencent_finance""}]"
