date,symbol,open,high,low,close,volume
2023-05-04,000300,4013.471,4035.783,4001.126,4030.247,22758284600.0
2023-05-05,000300,4031.095,4047.602,3998.392,4016.877,20662692400.0
2023-05-08,000300,4028.106,4070.772,4018.961,4062.662,25558308500.0
2023-05-09,000300,4065.439,4092.85,4026.389,4027.875,27930604800.0
2023-05-10,000300,4017.936,4019.059,3984.629,3996.87,20755270900.0
2023-05-11,000300,4005.782,4018.058,3988.482,3990.664,14480461900.0
2023-05-12,000300,3987.769,3999.383,3937.527,3937.762,14442172800.0
2023-05-15,000300,3938.83,3998.887,3923.032,3998.887,17625736200.0
2023-05-16,000300,4002.524,4005.015,3966.992,3978.205,13683327100.0
2023-05-17,000300,3971.702,3982.604,3945.714,3960.165,11844818500.0
2023-05-18,000300,3965.516,3982.718,3939.553,3956.07,13653394700.0
2023-05-19,000300,3946.222,3967.282,3928.316,3944.54,12021247900.0
2023-05-22,000300,3941.002,3985.403,3935.802,3969.328,10911660500.0
2023-05-23,000300,3968.235,3971.939,3913.188,3913.188,11868507700.0
2023-05-24,000300,3903.782,3903.782,3859.094,3859.094,13725826500.0
2023-05-25,000300,3851.405,3861.382,3817.837,3850.5,12415077000.0
2023-05-26,000300,3848.417,3859.629,3815.57,3850.951,10032643900.0
2023-05-29,000300,3862.084,3866.724,3819.182,3833.942,13185996700.0
2023-05-30,000300,3827.792,3844.005,3789.274,3837.753,13761962900.0
2023-05-31,000300,3827.163,3827.163,3781.403,3798.543,12638736800.0
2023-06-01,000300,3788.59,3832.205,3786.734,3806.868,13456188100.0
2023-06-02,000300,3821.62,3865.284,3821.62,3861.834,12501511000.0
2023-06-05,000300,3860.556,3860.556,3832.458,3844.249,11616398900.0
2023-06-06,000300,3840.459,3867.845,3802.845,3808.163,12578125800.0
2023-06-07,000300,3815.482,3823.112,3780.102,3789.342,9886243200.0
2023-06-08,000300,3791.083,3834.389,3777.775,3820.187,11870093400.0
2023-06-09,000300,3822.409,3836.703,3811.219,3836.703,13431986300.0
2023-06-12,000300,3827.325,3859.716,3813.858,3844.432,12675854300.0
2023-06-13,000300,3838.129,3867.303,3833.46,3864.907,11092494600.0
2023-06-14,000300,3872.716,3891.666,3862.061,3864.025,12495575900.0
2023-06-15,000300,3871.775,3925.499,3871.775,3925.499,12836993800.0
2023-06-16,000300,3932.211,3968.013,3928.542,3963.351,13976007600.0
2023-06-19,000300,3957.033,3957.033,3922.474,3930.908,13490584800.0
2023-06-20,000300,3926.094,3937.495,3918.473,3924.238,12252031800.0
2023-06-21,000300,3909.104,3920.128,3864.032,3864.032,11834657500.0
2023-06-26,000300,3833.444,3841.286,3801.054,3809.696,13399041900.0
2023-06-27,000300,3811.687,3851.896,3806.324,3845.433,11699268100.0
2023-06-28,000300,3836.609,3846.852,3808.161,3840.799,10702154100.0
2023-06-29,000300,3836.731,3840.713,3817.376,3821.844,9828927400.0
2023-06-30,000300,3816.335,3860.031,3813.552,3842.452,10126842900.0
2023-07-03,000300,3853.292,3897.327,3853.292,3892.882,13315805100.0
