symbol,fiscal_period_end,filed_date,revenue,gross_profit,currency,form_type,accession_id,cik,fiscal_year,fiscal_period,frame,revenue_concept,gross_profit_concept,derivation,source_url
AAOI,2012-09-30,2013-11-14,16416000.0,4673000.0,USD,10-Q,0001019687-13-004306,0001158114,2013,Q3,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2013-03-31,2014-05-12,14317000.0,4585000.0,USD,10-Q,0001019687-14-001770,0001158114,2014,Q1,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2013-06-30,2014-08-12,19597000.0,5447000.0,USD,10-Q,0001019687-14-003067,0001158114,2014,Q2,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2013-09-30,2013-11-14,20766000.0,6321000.0,USD,10-Q,0001019687-13-004306,0001158114,2013,Q3,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2013-09-30,2014-11-12,20766000.0,6321000.0,USD,10-Q,0001019687-14-004202,0001158114,2014,Q3,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2014-03-31,2014-05-12,24859000.0,8653000.0,USD,10-Q,0001019687-14-001770,0001158114,2014,Q1,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2014-03-31,2015-05-11,24859000.0,8653000.0,USD,10-Q,0001019687-15-001844,0001158114,2015,Q1,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2014-06-30,2014-08-12,32650000.0,11188000.0,USD,10-Q,0001019687-14-003067,0001158114,2014,Q2,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2014-06-30,2015-08-07,32650000.0,11188000.0,USD,10-Q,0001019687-15-002994,0001158114,2015,Q2,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
AAOI,2014-09-30,2014-11-12,36549000.0,12146000.0,USD,10-Q,0001019687-14-004202,0001158114,2014,Q3,,SalesRevenueNet,GrossProfit,direct_quarter,https://data.sec.gov/api/xbrl/companyfacts/CIK0001158114.json
