date,open,high,low,close,volume,amount,factor
2021-04-05,338.4631367167512,343.3578470989014,337.83827822801805,341.6063537597656,2705700.0,924284311.367798,1.0
2021-04-06,340.6406670735349,343.48091731225543,339.883278566884,340.9436340332031,2142000.0,730301264.0991211,1.0
2021-04-07,341.6537332374839,342.2123123772412,338.5673184014298,339.70343017578125,1808400.0,614319683.1298828,1.0
2021-04-08,343.48083741663623,346.52937311945675,340.45125520221103,341.9849853515625,2839200.0,970963770.4101562,1.0
2021-04-09,341.69153569473565,344.3424240580344,340.4512955434227,343.8690490722656,1610800.0,553904264.2456055,1.0
2021-04-12,343.5187818762288,345.80045294524206,342.0986568127986,345.3838806152344,1836600.0,634332035.1379395,1.0
2021-04-13,345.8856553699141,347.7412773542427,344.87262589518417,345.7625732421875,1796400.0,621127886.5722656,1.0
2021-04-14,345.4218016450983,345.4218016450983,343.24425894164443,343.8312683105469,1509400.0,518978916.38793945,1.0
2021-04-15,345.4501634482668,349.8714700093983,344.872630892685,349.1614074707031,1850100.0,645983519.9615479,1.0
2021-04-16,350.01351234188536,352.94841444408075,348.95312799405434,350.97918701171875,2249200.0,789422387.4267578,1.0
2021-04-19,351.2443203279696,351.74609677273725,348.59343135420164,349.8715209960937,1560000.0,545799572.7539062,1.0
2021-04-20,349.3507866323604,355.3721033953377,349.09517450686343,351.9354248046875,2330700.0,820255894.5922852,1.0
2021-04-21,351.821848768467,354.63369818452577,351.6893187567382,354.1697998046875,1531800.0,542517299.3408203,1.0
2021-04-22,354.40639479459776,355.44782558268577,350.32590456844525,351.49041748046875,2138000.0,751486512.5732422,1.0
2021-04-23,351.4904378218582,354.88926708273294,350.68569448937654,353.4028625488281,1404500.0,496354320.4498291,1.0
2021-04-26,353.9897899536237,353.9897899536237,348.60278058762026,348.8962707519531,2059700.0,718621648.8677979,1.0
2021-04-27,348.5649278374677,351.2063392895171,345.8382834679198,350.49627685546875,1875900.0,657495965.7531738,1.0
2021-04-28,349.87151521368395,350.7709394359132,348.5744720982225,349.9093933105469,1305600.0,456841703.90625,1.0
2021-04-29,349.6626650024592,355.51660926187026,349.653167956702,354.40655517578125,1848300.0,655049635.9313965,1.0
2021-04-30,353.8089194619961,354.99489233744686,352.30983353295346,353.0309143066406,2118900.0,748037204.3243408,1.0
2021-05-03,354.6912488580151,360.17518585113885,353.7899269151381,359.8905639648437,2685800.0,966594076.6967772,1.0
2021-05-04,359.61537653760456,359.8051437469952,354.6058291264495,356.06695556640625,2133800.0,759775669.7875977,1.0
2021-05-05,357.0726625078627,358.1827167287819,352.9928990906217,353.4198608398437,1905300.0,673370860.8581543,1.0
2021-05-06,354.07448395764914,363.3250699755024,354.07448395764914,363.154296875,2641400.0,959235759.765625,1.0
2021-05-07,363.2207307821805,366.6553320480915,362.6230248622152,364.6344299316406,1817100.0,662577222.6287842,1.0
2021-05-10,365.7444300285063,368.0215204422991,361.7500826675637,361.9398498535156,1998700.0,723409177.9022217,1.0
2021-05-11,359.88108404101894,361.4086321152562,356.74063027700805,358.8089599609375,1859700.0,667277022.8393555,1.0
2021-05-12,356.74050695910626,357.6323605428564,352.1009689146354,353.1351623535156,2344600.0,827960701.6540527,1.0
2021-05-13,353.97955889939533,361.90186050582287,352.537426851169,360.0896911621094,2023100.0,728497454.1900635,1.0
2021-05-14,362.5660353855314,366.05753144341816,360.630520176622,364.729248046875,1876100.0,684268542.2607422,1.0
2021-05-17,365.3175126823676,367.2245368958111,363.287113733891,364.2928161621094,1830800.0,666947287.8295898,1.0
2021-05-18,366.6553179820452,369.5016523569989,362.9171298532533,363.2017517089844,1698200.0,616789214.7521973,1.0
2021-05-19,357.831661903192,362.1770819040568,356.8639186450935,360.2131042480469,1725000.0,621367604.8278809,1.0
2021-05-20,359.75766375243484,364.8241352015461,358.90376927528735,363.9322814941406,1427300.0,519440545.3765869,1.0
2021-05-21,365.3270384653153,365.61168930118646,360.9436877643829,361.2188415527344,1706600.0,616456074.9938965,1.0
2021-05-24,364.6533267925886,366.0006042694252,362.3288381050917,363.8089294433594,1657000.0,602831396.0876465,1.0
2021-05-25,363.9702171134724,365.9816218705329,362.46166354567697,365.64007568359375,1379700.0,504473612.4206543,1.0
2021-05-26,366.0954953249001,367.8886997906615,365.2985252138092,365.8677978515625,1648000.0,602950130.859375,1.0
2021-05-27,365.40285961238607,367.907618365319,363.8563469080771,367.6514587402344,4452000.0,1636784294.3115234,1.0
2021-05-28,364.4730450739289,365.57363097460143,357.71775067719875,358.89422607421875,4681200.0,1680055651.0986328,1.0
2021-06-01,360.46928982342666,360.7254784648725,356.2662094019118,358.8563842773437,2117800.0,759986050.6225586,1.0
2021-06-02,358.99854609788946,362.35722759374346,358.36285223637793,361.0953369140625,1881000.0,679220328.7353516,1.0
2021-06-03,360.194085148357,364.5110133626872,359.45401052993986,364.2073974609375,1780300.0,648398429.699707,1.0
2021-06-04,364.5110831798259,367.8982281561176,364.05565923997113,367.6705017089844,1765900.0,649269338.9678955,1.0
2021-06-07,365.72547275143705,366.6552856555318,359.17891005710965,360.9151611328125,2515800.0,907990362.3779296,1.0
2021-06-08,360.9246007574433,361.6836114879932,358.34392373740883,360.2509765625,1553800.0,559757967.3828125,1.0
2021-06-09,360.7349362393061,362.22452490011386,359.71026856606966,360.4977416992188,1398900.0,504300290.8630371,1.0
2021-06-10,360.7918686212794,363.7235897273075,360.0518227979559,363.39154052734375,1404000.0,510201722.9003906,1.0
2021-06-11,364.1979912721988,364.1979912721988,361.038572560004,362.27197265625,1404200.0,508702304.0039063,1.0
2021-06-14,361.2852162988853,364.3118207164785,359.6627849209515,364.1030883789063,1652600.0,601716763.8549805,1.0
2021-06-15,364.10308092627344,364.8051674317325,362.015757593275,364.2453918457031,1252000.0,456035230.5908203,1.0
2021-06-16,364.7102534995418,366.6457687060276,357.80315089176,359.9758605957031,1801700.0,648568508.0352783,1.0
2021-06-17,360.8961727401028,366.6742271649748,359.7860897633334,365.0423278808594,1686500.0,615643885.9710693,1.0
2021-06-18,365.0423412361639,365.1941491930781,360.8202674880568,361.3705749511719,3415700.0,1234333472.8607178,1.0
2021-06-21,362.6704670112702,367.7938635012532,361.0670295366463,366.9873962402344,1631600.0,598776635.7055664,1.0
2021-06-22,367.196068175714,372.3953822805684,366.7596383826958,372.0917663574219,1934800.0,719923149.5483398,1.0
2021-06-23,372.8697572802646,373.28722192028977,370.58319880562016,371.89251708984375,1538000.0,571970691.2841797,1.0
2021-06-24,373.2682829497498,375.2417286055101,371.7312381467796,371.9874267578125,1487300.0,553256899.8168945,1.0
2021-06-25,372.8413029284449,374.3403594731762,371.20940356163976,374.3024291992188,2056100.0,769603224.6765137,1.0
2021-06-28,374.76735869035616,377.0634144886023,372.9931482325531,376.2284851074219,1645500.0,619083972.2442627,1.0
2021-06-29,376.00074309675256,378.9799201785444,375.213270026995,378.36322021484375,1523600.0,576474202.3193359,1.0
2021-06-30,377.5852544096401,379.95719986565103,374.7673820497226,375.403076171875,2031700.0,762706429.8583984,1.0
2021-07-01,376.00076854911305,377.3195840732257,373.70474164494414,374.3214416503906,1523400.0,570241284.2102051,1.0
2021-07-02,375.91534913982207,380.2417748011746,375.8204655424117,378.5055236816406,1676600.0,634602361.0046387,1.0
2021-07-06,379.3595006297273,380.8395924170221,376.76932552475375,378.4296875,2113100.0,799659772.65625,1.0
2021-07-07,378.7521921015209,385.317719697666,378.7521921015209,383.9514770507813,2308600.0,886390379.9194336,1.0
2021-07-08,382.832009255937,387.7087431728299,382.509428137785,386.2950439453125,2235500.0,863562570.7397461,1.0
2021-07-09,387.62321987583215,392.7940712848954,386.7124011511006,391.24755859375,2304200.0,901512624.5117188,1.0
2021-07-12,392.8320553617443,393.12617422848734,383.80916722136936,386.9875793457031,2491300.0,964102156.4239502,1.0
2021-07-13,383.9705227440788,388.3254109083808,383.9705227440788,386.2096252441406,1540300.0,594878685.7635498,1.0
2021-07-14,387.651748784195,389.444953316412,386.39938368001646,388.95159912109375,1265800.0,492334934.16748047,1.0
2021-07-15,389.43550713680617,391.0864009585481,386.98767202475386,390.7258605957031,1894100.0,740073852.5543213,1.0
2021-07-16,391.0104901213668,392.2439192264728,388.7808554295034,389.3501281738281,1413900.0,550502146.2249756,1.0
2021-07-19,389.0559028369439,394.0464843627704,389.046405791571,392.9364013671875,2293100.0,901042461.9750977,1.0
2021-07-20,392.7941493114922,396.6556832839754,391.7030602431758,394.9194030761719,2045400.0,807768147.052002,1.0
2021-07-21,395.7447910749971,395.7447910749971,391.1052815542746,393.75238037109375,1480000.0,582753522.9492188,1.0
2021-07-22,394.6917055908181,397.15853454164295,392.36718756987705,396.15283203125,1339200.0,530527872.65625,1.0
2021-07-23,396.8644148195023,402.2724328248469,395.6879102412557,401.7411193847656,1344500.0,540140935.0128174,1.0
2021-07-26,401.7126371446664,402.7562988335858,398.8188755545987,401.5513610839844,1220000.0,489892660.52246094,1.0
2021-07-27,402.2819111106669,402.8132245259696,400.0048494801676,402.6044921875,1666500.0,670940386.2304688,1.0
2021-07-28,401.5892534133872,403.0978069580206,398.999108005646,400.5930480957031,1362700.0,545888146.6400146,1.0
2021-07-29,400.8307064487363,404.7945402970845,399.5759647548592,404.2527160644531,1434200.0,579779245.3796387,1.0
2021-07-30,404.9180724675536,410.1651339582624,404.88004208473234,408.47314453125,2283900.0,932911814.794922,1.0
2021-08-02,409.32869744445935,409.4142440613867,404.4428513782605,407.7127685546875,1366900.0,557302583.3374023,1.0
2021-08-03,408.66323392791054,415.2030378114774,407.90277137725377,413.55859375,1448100.0,598874199.609375,1.0
2021-08-04,414.4427081656336,416.334306656362,411.48649084577806,413.5301818847656,1280500.0,529525397.9034424,1.0
2021-08-05,416.1061608234148,421.5718613939108,415.1366035131668,421.2771911621094,1742600.0,734117633.3190918,1.0
2021-08-06,420.83988890523904,421.5337765833916,417.19924127214966,417.8931579589844,1789800.0,747945174.1149902,1.0
2021-08-09,418.8627741398992,420.8874644076947,417.58903173390695,418.6916809082031,1472500.0,616523500.1373291,1.0
2021-08-10,418.8722466859505,421.85697912483965,418.8722466859505,421.12506103515625,1893700.0,797484528.0822754,1.0
2021-08-11,423.4729548860478,425.8493463276081,419.9558839490647,422.332275390625,2267500.0,957638434.4482422,1.0
2021-08-12,421.0965746114244,424.54709971746297,420.3836571600507,423.3398742675781,1230700.0,521004383.2611084,1.0
2021-08-13,423.7391096347738,426.19153283903415,422.56042876235085,425.6782531738281,1309300.0,557340536.8804932,1.0
2021-08-16,425.7638173320311,430.7827551039094,424.946323557796,430.4690551757813,1515600.0,652418900.0244141,1.0
2021-08-17,430.4690714963767,431.3435963800304,427.4653380037303,429.9747924804688,1936700.0,832732180.5969238,1.0
2021-08-18,428.6630015724613,432.7313827109744,423.8531874370267,424.1478576660156,2030100.0,861062565.8477783,1.0
2021-08-19,421.0490725158229,432.9785466657064,419.49014571233016,431.79986572265625,1953700.0,843607397.6623535,1.0
2021-08-20,432.9690719811189,437.84543260592,431.2295659438423,436.2960205078125,1911200.0,833848954.3945312,1.0
2021-08-23,434.66100550318527,436.36250993752014,432.1135207804093,432.4367065429688,1835900.0,793910549.5422363,1.0
2021-08-24,432.7409444784624,432.8740363427253,428.0356771360119,429.4520263671875,1541700.0,662086189.050293,1.0
2021-08-25,428.5394623667153,430.4310899171021,425.2030280906532,428.9197082519531,1520600.0,652215308.3679199,1.0
2021-08-26,428.919747313153,430.1079432910081,424.613726249754,427.09466552734375,1418600.0,605876492.5170898,1.0
2021-08-27,427.09459726467423,429.2903807601023,424.70869083970047,428.07366943359375,1310200.0,560862121.6918945,1.0
2021-08-30,428.7390613298333,434.01463890980415,428.1687215623183,433.3872680664063,1219800.0,528645789.5874024,1.0
2021-08-31,433.58690966686345,434.2903122814173,430.0698385767228,432.9690246582031,1699000.0,735614372.8942871,1.0
2021-09-01,432.959592515675,434.1002431935541,429.5090669229293,433.9481506347656,1325400.0,575154878.8513184,1.0
2021-09-02,436.7047493803148,438.6248633722694,435.7256771901007,438.1781005859375,1455000.0,637549136.3525391,1.0
2021-09-03,436.30543712349504,440.6780028615454,436.30543712349504,439.6799011230469,1302400.0,572639103.2226562,1.0
2021-09-07,439.6324630533792,440.2978643306648,435.0032566784018,436.8758544921875,1463400.0,639324125.4638672,1.0
2021-09-08,436.4100914378138,442.797833897703,435.4310191549281,442.6742858886719,1372000.0,607349120.2392578,1.0
2021-09-09,444.2331477952085,446.5429935262405,442.2369729994193,442.9023742675781,1398700.0,619487550.8880615,1.0
2021-09-10,444.0715472712994,445.24071334397536,440.29783634364094,442.1609191894531,1324800.0,585774785.7421875,1.0
2021-09-13,443.96694353606574,445.0885933121115,435.5450263586821,436.9328308105469,1679500.0,733828689.3463135,1.0
2021-09-14,438.1590813376143,439.347277101076,434.80361766194585,435.7446594238281,1383900.0,603027034.1766357,1.0
2021-09-15,435.5830151679126,439.3947561372469,433.5868696612016,437.9499206542969,1770300.0,775302744.5343018,1.0
