date,open,high,low,close,volume,amount,factor
2021-04-05,22.793340247922284,22.850978034091096,22.56722538110497,22.806640625,6159000.0,140466099.609375,1.0
2021-04-06,22.713538684299778,22.908618245457177,22.6470350956618,22.731273651123047,5785400.0,131509510.58120728,1.0
2021-04-07,22.682506505499965,22.70024147479983,22.1150010183024,22.137168884277344,6995000.0,154849496.34552002,1.0
2021-04-08,22.185941391893465,22.33225067479508,22.092835330837897,22.2657470703125,7039400.0,156737499.9267578,1.0
2021-04-09,22.22140399642908,22.270174308770823,21.8268102930088,22.19480323791504,8735400.0,193880484.20448303,1.0
2021-04-12,22.16820031892705,22.545059047829028,22.097262145558464,22.482988357543945,11463600.0,257735985.3355408,1.0
2021-04-13,21.77360794730844,22.17263456252321,21.53419096339984,22.15933418273925,15134600.0,335372659.1220856,1.0
2021-04-14,22.16376789211565,22.584962354049985,22.00858947181925,22.19480323791504,8620000.0,191319203.91082764,1.0
2021-04-15,22.314518999050183,22.36328763598967,22.07953484401424,22.34111976623535,7102600.0,158680037.2516632,1.0
2021-04-16,22.292343876275933,22.460822688715066,22.137167135410696,22.40761947631836,7642200.0,171243509.56192017,1.0
2021-04-19,22.438651542693066,22.55836002155223,22.168199241340805,22.522890090942383,5402400.0,121677661.42730711,1.0
2021-04-20,22.74900846342856,22.74900846342856,22.49629110746182,22.66920280456543,5583000.0,126562159.2578888,1.0
2021-04-21,22.75344516566837,23.108136102559968,22.71354232956183,23.08153533935547,4891000.0,112891789.3447876,1.0
2021-04-22,23.054934736611187,23.23228106495125,22.91749124758265,22.94409370422364,6763200.0,155175494.54040527,1.0
2021-04-23,23.082278536399897,23.403237769976823,22.97529325887448,23.26058959960937,4465800.0,103877141.03393556,1.0
2021-04-26,23.256133562133066,23.3452891039904,23.046619994343928,23.144689559936523,4425400.0,102424509.17854308,1.0
2021-04-27,23.03323750386759,23.17142863045115,22.94854070399376,23.14022445678711,5002400.0,115756658.82263184,1.0
2021-04-28,23.08227803014824,23.14468639075269,22.89950995959223,23.04215812683105,3868800.0,89145501.36108398,1.0
2021-04-29,23.171432157431,23.661786690575287,23.077819622189885,23.568172454833984,5490800.0,129408121.31500244,1.0
2021-04-30,23.51468341076556,23.786607036031736,23.26504824484078,23.30516815185547,10394000.0,242233917.7703857,1.0
2021-05-03,23.403237360828328,23.69299240835299,23.27396192728654,23.62612533569336,6107200.0,144289472.65014648,1.0
2021-05-04,23.59937142380608,23.884669378539307,23.4611820071929,23.7553939819336,6505000.0,154528837.85247803,1.0
2021-05-05,23.857929506412606,24.16997301750757,23.603837346071074,24.15214157104492,7180400.0,173422037.33673096,1.0
2021-05-06,23.733111444052465,23.87575960671016,23.434440684394,23.5726318359375,8600600.0,202738777.3681641,1.0
2021-05-07,23.73756980895996,23.844556787304995,23.47901893658465,23.73756980895996,6122000.0,145321402.37045288,1.0
2021-05-10,23.724194254842047,24.2145470711048,23.661785900099527,23.9604549407959,6165800.0,147735373.07395935,1.0
2021-05-11,23.84901676519438,23.93817230815503,23.51468475446736,23.57709312438965,8466800.0,199622532.06558228,1.0
2021-05-12,23.358664253832103,23.643960636086444,23.16252171565681,23.18035316467285,6139200.0,142308824.14855957,1.0
2021-05-13,23.327458163318965,23.86238798611171,23.22938690224009,23.73311424255371,4305400.0,102180550.05989076,1.0
2021-05-14,23.902511944980848,24.09865450038996,23.706371090072462,24.02733039855957,4409400.0,105946110.65940855,1.0
2021-05-17,24.08082159789521,24.08082159789521,23.71974239761786,23.9247989654541,3650400.0,87335086.14349365,1.0
2021-05-18,23.973833227208143,24.06298876913557,23.34083211047437,23.35866355895996,6919200.0,161623264.89715576,1.0
2021-05-19,23.22938684701966,23.318542384106657,22.86385067541336,23.149147033691406,5187800.0,120093144.98138428,1.0
2021-05-20,23.11793885530846,23.42106660871437,23.09119168865495,23.331911087036133,4241400.0,98959967.68455504,1.0
2021-05-21,23.456729400238824,23.6261247329548,23.247215865550903,23.34528541564941,5126000.0,119667933.0406189,1.0
2021-05-24,23.43889760359359,23.661785553264124,23.35419909439872,23.559255599975582,3248000.0,76520462.1887207,1.0
2021-05-25,23.62612526875372,23.68407661819452,23.425525751843487,23.487934112548828,3923000.0,92143165.52352904,1.0
2021-05-26,23.49239552009923,23.59492379595188,23.367577083865168,23.58600807189941,3713000.0,87574847.97096252,1.0
2021-05-27,23.750945419767184,23.866848135384966,23.492396216582307,23.514684677124023,5777800.0,135863145.12748718,1.0
2021-05-28,23.66178858443948,23.79552103127347,23.608294245305625,23.643957138061523,3913200.0,92523533.07266235,1.0
2021-06-01,23.777688601841795,23.902505320326448,23.36311684344605,23.42106819152832,4623400.0,108284966.67671204,1.0
2021-06-02,23.53251369298696,23.53697070443432,23.26950580458293,23.372034072875977,4259400.0,99550841.93000792,1.0
2021-06-03,23.2828783114628,23.50576629265678,23.13577312813496,23.44781494140625,5011200.0,117501690.234375,1.0
