date,open,high,low,close,volume,amount,factor
2021-01-04,41.55,43.75,40.53,43.01,157793361.0,7675782066.0,1.0
2021-01-05,42.75,47.32,42.67,47.32,147156104.0,7956690627.0,1.0
2021-01-06,47.94,50.37,47.33,47.87,131752692.0,7419141928.0,1.0
2021-01-07,48.37,51.35,48.09,50.35,93609657.0,5423116476.0,1.0
2021-01-08,50.27,50.87,48.13,49.53,85544954.0,4894349568.0,1.0
2021-01-11,50.1,52.96,49.96,50.96,129337078.0,7708604407.0,1.0
2021-01-12,50.99,53.16,50.97,52.9,84141203.0,5112224389.0,1.0
2021-01-13,52.51,53.07,50.96,51.75,72099546.0,4349146852.0,1.0
2021-01-14,51.06,51.56,49.06,49.44,62406543.0,3629182990.0,1.0
2021-01-15,49.73,52.66,49.73,50.87,57256014.0,3386754292.0,1.0
2021-01-18,50.28,52.77,49.29,51.63,45947104.0,2736546475.0,1.0
2021-01-19,51.67,53.72,51.67,52.33,48253933.0,2948151415.0,1.0
2021-01-20,51.57,52.32,51.13,52.17,46239256.0,2771744367.0,1.0
2021-01-21,52.37,55.77,52.34,54.59,74640858.0,4690048537.0,1.0
2021-01-22,55.28,58.63,54.85,57.65,68616533.0,4524129349.0,1.0
2021-01-25,57.71,60.88,55.74,58.43,62922402.0,4255124841.0,1.0
2021-01-26,57.64,58.2,55.88,56.23,48400361.0,3175946152.0,1.0
2021-01-27,56.27,60.27,55.23,59.67,59629095.0,3962059404.0,1.0
2021-01-28,58.3,58.3,53.7,55.24,84618566.0,5470475334.0,1.0
2021-01-29,54.93,56.07,53.13,54.41,62260960.0,3916791620.0,1.0
2021-02-01,54.92,55.71,52.95,54.98,50235570.0,3157186160.0,1.0
2021-02-02,54.98,57.06,54.85,55.69,45263816.0,2936284474.0,1.0
2021-02-03,55.69,57.43,51.06,51.74,73388139.0,4634693198.0,1.0
2021-02-04,52.7,54.1,51.74,52.5,63513554.0,3881094947.0,1.0
2021-02-05,52.53,52.95,50.15,51.51,56512178.0,3363584286.0,1.0
2021-02-08,51.5,52.92,50.44,51.72,53111027.0,3184120211.0,1.0
2021-02-09,52.55,54.98,52.01,53.98,55688071.0,3462194272.0,1.0
2021-02-10,53.98,57.44,52.93,57.01,55685991.0,3593450413.0,1.0
2021-02-18,57.01,58.04,52.73,52.96,70039935.0,4421816430.0,1.0
2021-02-19,52.34,53.72,51.41,53.27,41627554.0,2547252022.0,1.0
2021-02-22,53.03,53.03,49.92,50.65,66889347.0,3944737225.0,1.0
2021-02-23,50.57,51.64,49.33,50.41,44484595.0,2593228957.0,1.0
2021-02-24,50.94,50.98,47.69,48.42,69842218.0,3965119328.0,1.0
2021-02-25,49.39,50.44,48.8,49.22,36598018.0,2102497078.0,1.0
2021-02-26,47.51,48.88,46.94,47.99,47652324.0,2651193802.0,1.0
2021-03-01,49.84,51.48,49.8,50.29,49789524.0,2911832675.0,1.0
2021-03-02,50.36,52.32,50.36,51.31,46738147.0,2775047816.0,1.0
2021-03-03,51.35,51.75,49.92,51.55,25830891.0,1528435267.0,1.0
2021-03-04,50.8,50.84,49.56,50.05,27211116.0,1574937496.0,1.0
2021-03-05,49.22,51.67,48.09,50.27,49015730.0,2839053069.0,1.0
2021-03-08,50.96,51.93,48.25,48.46,46149747.0,2660372098.0,1.0
2021-03-09,48.07,48.07,45.69,46.19,65948243.0,3566533325.0,1.0
2021-03-10,47.04,47.88,46.61,46.94,33347646.0,1823436301.0,1.0
