date,open,high,low,close,volume,amount,factor
2021-04-05,285.739990234375,289.4200134277344,284.2900085449219,288.32000732421875,950800.0,274134662.9638672,1.0
2021-04-06,286.8599853515625,288.6300048828125,284.6499938964844,285.5,898400.0,256493200.0,1.0
2021-04-07,286.8299865722656,287.5899963378906,283.239990234375,286.1199951171875,718700.0,205634440.49072263,1.0
2021-04-08,290.0,297.760009765625,288.6499938964844,293.42999267578125,1220400.0,358101963.06152344,1.0
2021-04-09,292.5599975585937,297.8999938964844,290.3800048828125,297.57000732421875,1032700.0,307300546.5637207,1.0
2021-04-12,294.0,296.25,293.0,294.5,1378600.0,405997700.0,1.0
2021-04-13,295.3399963378906,298.6600036621094,293.1199951171875,295.3500061035156,1007800.0,297653736.15112305,1.0
2021-04-14,297.239990234375,301.4100036621094,293.7900085449219,294.3500061035156,881100.0,259351790.3778076,1.0
2021-04-15,299.7799987792969,303.69000244140625,298.2200012207031,298.8599853515625,1103500.0,329791993.8354492,1.0
2021-04-16,300.17999267578125,301.3599853515625,296.5799865722656,300.1600036621094,861100.0,258467779.1534424,1.0
2021-04-19,297.2699890136719,299.4599914550781,288.8500061035156,290.20001220703125,939200.0,272555851.4648437,1.0
2021-04-20,288.1600036621094,289.04998779296875,282.82000732421875,286.3599853515625,967300.0,276996013.8305664,1.0
2021-04-21,285.760009765625,289.7300109863281,284.1499938964844,288.8699951171875,893500.0,258105340.63720703,1.0
2021-04-22,287.5400085449219,292.239990234375,285.7200012207031,288.0,1721000.0,495648000.0,1.0
2021-04-23,289.4700012207031,296.57000732421875,289.1199951171875,295.2699890136719,1073500.0,316972333.2061768,1.0
2021-04-26,294.6700134277344,300.760009765625,294.3999938964844,299.3399963378906,833400.0,249469952.94799805,1.0
2021-04-27,299.4100036621094,299.9700012207031,294.25,297.8699951171875,812700.0,242078945.03173828,1.0
2021-04-28,298.07000732421875,299.5599975585937,296.17999267578125,299.2300109863281,908300.0,271790618.97888184,1.0
2021-04-29,301.5,301.5,293.7900085449219,296.2799987792969,906900.0,268696330.89294434,1.0
2021-04-30,294.54998779296875,295.4700012207031,290.5,291.9100036621094,732200.0,213736504.68139648,1.0
2021-05-03,292.989990234375,293.5,286.07000732421875,287.5,644600.0,185322500.0,1.0
2021-05-04,284.2300109863281,284.2300109863281,274.5,279.7300109863281,1052200.0,294331917.55981445,1.0
2021-05-05,280.2099914550781,282.0,277.67999267578125,281.0799865722656,839400.0,235938540.72875977,1.0
2021-05-06,280.489990234375,284.7200012207031,277.7900085449219,284.3500061035156,1131000.0,321599856.9030762,1.0
2021-05-07,285.6600036621094,292.6400146484375,283.8999938964844,285.760009765625,799600.0,228493703.8085937,1.0
2021-05-10,285.8900146484375,286.0,275.8800048828125,276.04998779296875,839200.0,231661149.7558593,1.0
2021-05-11,269.0,280.5599975585937,265.75,277.4200134277344,933200.0,258888356.5307617,1.0
2021-05-12,271.95001220703125,275.0899963378906,267.3399963378906,269.5400085449219,984100.0,265254322.4090576,1.0
2021-05-13,270.94000244140625,273.70001220703125,267.2200012207031,269.7200012207031,1289700.0,347857885.5743408,1.0
