date,open,high,low,close,volume,amount,factor
2021-04-05,72.30999755859375,75.69000244140625,71.83000183105469,75.26000213623047,3054600.0,229889202.5253296,1.0
2021-04-06,75.26000213623047,76.08999633789062,74.51000213623047,75.47000122070312,3016500.0,227655258.6822509,1.0
2021-04-07,74.77999877929688,76.12999725341797,74.13999938964844,74.3499984741211,1578000.0,117324297.59216309,1.0
2021-04-08,75.58000183105469,76.38999938964844,74.9000015258789,76.22000122070312,1913100.0,145816484.33532715,1.0
2021-04-09,75.52999877929688,76.62000274658203,75.06999969482422,76.20999908447266,1256000.0,95719758.85009766,1.0
2021-04-12,78.83999633789062,82.22000122070312,77.5999984741211,80.0,4142500.0,331400000.0,1.0
2021-04-13,80.51000213623047,81.7300033569336,78.2699966430664,79.08999633789062,1975400.0,156234378.76586914,1.0
2021-04-14,79.76000213623047,82.75,79.19999694824219,81.27999877929688,2723100.0,221333564.6759033,1.0
2021-04-15,82.66999816894531,83.44999694824219,81.1500015258789,81.66999816894531,1703600.0,139133008.88061523,1.0
2021-04-16,81.9800033569336,82.5199966430664,80.58999633789062,81.41999816894531,1512200.0,123123321.2310791,1.0
2021-04-19,80.91999816894531,81.61000061035156,76.55999755859375,77.02999877929688,2195200.0,169096253.3203125,1.0
2021-04-20,76.77999877929688,78.69999694824219,74.87000274658203,75.7699966430664,4518700.0,342381883.83102417,1.0
2021-04-21,75.55000305175781,76.97000122070312,74.75,76.51000213623047,1687300.0,129095326.60446168,1.0
2021-04-22,77.36000061035156,78.44000244140625,75.5999984741211,76.01000213623047,2696100.0,204930566.75949097,1.0
2021-04-23,76.69000244140625,79.12000274658203,76.37000274658203,77.87000274658203,1864500.0,145188620.1210022,1.0
2021-04-26,77.80000305175781,78.33999633789062,77.12999725341797,77.8499984741211,1275200.0,99274318.05419922,1.0
2021-04-27,77.83000183105469,78.08999633789062,75.5199966430664,75.58000183105469,1418300.0,107195116.59698486,1.0
2021-04-28,75.47000122070312,75.70999908447266,73.75,74.55999755859375,1780600.0,132761531.65283205,1.0
2021-04-29,76.13999938964844,76.13999938964844,70.7699966430664,71.93000030517578,2415400.0,173739722.73712158,1.0
2021-04-30,70.62999725341797,71.19000244140625,66.56999969482422,67.13999938964844,3607100.0,242180691.79840088,1.0
2021-05-03,68.19000244140625,68.38999938964844,66.30000305175781,67.02999877929688,2306000.0,154571177.1850586,1.0
2021-05-04,66.01000213623047,66.2300033569336,63.58000183105469,64.55999755859375,2112700.0,136395906.84204102,1.0
2021-05-05,66.72000122070312,67.25,64.13999938964844,64.58999633789062,3112900.0,201062199.60021973,1.0
2021-05-06,59.81999969482422,63.06999969482422,58.81999969482422,59.90999984741211,6421900.0,384736028.0200958,1.0
2021-05-07,60.5099983215332,64.4000015258789,59.91999816894531,63.63999938964844,2701700.0,171936186.35101318,1.0
2021-05-10,63.25,63.72999954223633,61.560001373291016,62.0099983215332,2075700.0,128714153.51600648,1.0
2021-05-11,59.58000183105469,65.0,59.25,64.45999908447266,2390500.0,154091627.81143188,1.0
2021-05-12,61.43999862670898,62.84000015258789,60.04999923706055,60.41999816894531,3402300.0,205566959.77020264,1.0
2021-05-13,60.810001373291016,61.77999877929688,59.58000183105469,61.5,2238200.0,137649300.0,1.0
2021-05-14,61.880001068115234,64.02999877929688,61.02000045776367,63.66999816894531,1949900.0,124150129.42962646,1.0
2021-05-17,62.81999969482422,64.38999938964844,62.34000015258789,63.56999969482422,1711500.0,108800054.47769164,1.0
2021-05-18,62.27000045776367,63.810001373291016,61.81999969482422,62.650001525878906,1687500.0,105721877.57492064,1.0
2021-05-19,61.47999954223633,65.0999984741211,60.630001068115234,65.04000091552734,1997400.0,129910897.82867432,1.0
2021-05-20,65.16000366210938,66.44999694824219,65.08000183105469,65.88999938964844,1463600.0,96436603.10668944,1.0
2021-05-21,66.33000183105469,67.37000274658203,65.94999694824219,66.33999633789062,1628900.0,108061220.03479004,1.0
2021-05-24,66.72000122070312,67.08000183105469,65.76000213623047,66.31999969482422,953000.0,63202959.70916748,1.0
2021-05-25,66.9000015258789,67.26000213623047,65.72000122070312,65.9000015258789,988400.0,65135561.50817871,1.0
2021-05-26,66.9000015258789,68.33000183105469,66.87000274658203,68.05999755859375,1020400.0,69448421.50878906,1.0
2021-05-27,68.19000244140625,69.62000274658203,67.11000061035156,68.56999969482422,1786600.0,122507161.45477296,1.0
2021-05-28,68.70999908447266,68.70999908447266,67.20999908447266,67.37000274658203,1079800.0,72746128.96575928,1.0
2021-06-01,68.0,68.4000015258789,66.91999816894531,67.62000274658203,974100.0,65868644.67544556,1.0
2021-06-02,67.22000122070312,68.16999816894531,66.72000122070312,68.05999755859375,1173400.0,79861601.1352539,1.0
2021-06-03,67.63999938964844,68.45999908447266,66.69999694824219,67.4800033569336,1811600.0,122246774.0814209,1.0
2021-06-04,67.6500015258789,69.62999725341797,67.6500015258789,69.25,1080300.0,74810775.0,1.0
2021-06-07,69.47000122070312,69.94999694824219,68.86000061035156,69.1500015258789,1371600.0,94846142.09289552,1.0
2021-06-08,69.5,71.5199966430664,69.5,71.0,1529700.0,108608700.0,1.0
2021-06-09,71.31999969482422,71.91000366210938,70.54000091552734,70.58999633789062,1208800.0,85329187.57324219,1.0
2021-06-10,70.2699966430664,70.37000274658203,68.69000244140625,70.01000213623047,1051800.0,73636520.2468872,1.0
2021-06-11,70.5,70.58999633789062,69.62000274658203,70.0999984741211,1067300.0,74817728.37142944,1.0
2021-06-14,70.08000183105469,72.87000274658203,69.94000244140625,72.83999633789062,1315600.0,95828299.1821289,1.0
2021-06-15,72.69000244140625,73.63999938964844,70.68000030517578,70.95999908447266,1595200.0,113195390.53955078,1.0
2021-06-16,70.62999725341797,70.86000061035156,67.69000244140625,68.79000091552734,1708200.0,117507079.5639038,1.0
2021-06-17,68.43000030517578,69.56999969482422,67.1500015258789,69.36000061035156,1841600.0,127733377.12402344,1.0
2021-06-18,68.5199966430664,68.72000122070312,65.69999694824219,67.45999908447266,3457500.0,233242946.8345642,1.0
2021-06-21,67.73999786376953,68.81999969482422,66.91000366210938,68.41000366210938,1198200.0,81968866.38793945,1.0
2021-06-22,67.94999694824219,68.91000366210938,67.29000091552734,68.47000122070312,941100.0,64437118.14880371,1.0
2021-06-23,68.44999694824219,70.73999786376953,68.3499984741211,70.05999755859375,1251400.0,87673080.94482422,1.0
2021-06-24,70.56999969482422,71.41999816894531,70.08999633789062,71.30999755859375,906000.0,64606857.78808594,1.0
2021-06-25,71.93000030517578,72.20999908447266,70.79000091552734,71.0199966430664,1594800.0,113262690.6463623,1.0
2021-06-28,71.0999984741211,73.4000015258789,71.05000305175781,72.2300033569336,1053400.0,76087085.53619385,1.0
2021-06-29,72.43000030517578,73.7300033569336,72.2300033569336,73.20999908447266,1509800.0,110532456.61773682,1.0
2021-06-30,72.70999908447266,73.0,71.9000015258789,72.58999633789062,894300.0,64917233.72497559,1.0
2021-07-01,73.0,73.33000183105469,72.12000274658203,72.58999633789062,1277100.0,92704684.32312012,1.0
2021-07-02,73.0,73.37999725341797,72.23999786376953,73.19000244140625,662400.0,48481057.6171875,1.0
2021-07-06,73.08999633789062,74.5,72.68000030517578,74.08000183105469,1248200.0,92466658.28552246,1.0
2021-07-07,74.69000244140625,75.2300033569336,71.63999938964844,72.1500015258789,1978600.0,142755993.019104,1.0
2021-07-08,69.61000061035156,72.13999938964844,69.11000061035156,70.91999816894531,1039400.0,73714246.09680176,1.0
2021-07-09,71.01000213623047,72.9000015258789,70.58000183105469,72.4000015258789,634700.0,45952280.96847534,1.0
2021-07-12,72.83999633789062,72.9000015258789,71.25,71.87999725341797,739300.0,53140881.969451904,1.0
2021-07-13,71.2699966430664,72.41999816894531,71.08999633789062,71.62999725341797,970300.0,69502586.33499146,1.0
2021-07-14,72.20999908447266,74.72000122070312,72.0,72.5199966430664,1116600.0,80975828.25164795,1.0
2021-07-15,72.33000183105469,72.33000183105469,69.27999877929688,70.4000015258789,1067700.0,75166081.62918091,1.0
2021-07-16,70.91999816894531,71.26000213623047,69.4800033569336,69.54000091552734,1406400.0,97801057.28759766,1.0
2021-07-19,68.19999694824219,69.29000091552734,67.11000061035156,68.44000244140625,1147100.0,78507526.80053711,1.0
2021-07-20,68.3499984741211,71.58000183105469,67.61000061035156,70.93000030517578,957000.0,67880010.29205322,1.0
2021-07-21,69.56999969482422,72.97000122070312,69.56999969482422,72.52999877929688,952700.0,69099329.83703613,1.0
2021-07-22,72.43000030517578,73.38999938964844,70.88999938964844,71.16999816894531,575600.0,40965450.94604492,1.0
2021-07-23,71.54000091552734,71.58999633789062,70.01000213623047,71.38999938964844,634500.0,45296954.61273193,1.0
2021-07-26,70.69999694824219,71.16000366210938,67.22000122070312,67.4000015258789,1777500.0,119803502.71224976,1.0
2021-07-27,67.4000015258789,67.66999816894531,64.25,66.11000061035156,2027500.0,134038026.2374878,1.0
2021-07-28,65.91000366210938,68.93000030517578,65.91000366210938,68.27999877929688,1375200.0,93898654.32128906,1.0
2021-07-29,68.69999694824219,69.75,67.56999969482422,69.51000213623047,1129400.0,78504596.41265869,1.0
2021-07-30,68.95999908447266,70.11000061035156,68.75,69.80999755859375,1040600.0,72644283.45947266,1.0
2021-08-02,70.52999877929688,71.02999877929688,69.08000183105469,69.4800033569336,991400.0,68882475.32806396,1.0
2021-08-03,68.72000122070312,69.1500015258789,65.63999938964844,67.0,2085200.0,139708400.0,1.0
2021-08-04,66.33999633789062,70.16999816894531,66.33999633789062,69.41999816894531,1707500.0,118534646.87347412,1.0
2021-08-05,69.77999877929688,70.7699966430664,68.7300033569336,69.19999694824219,1171500.0,81067796.42486572,1.0
2021-08-06,68.58000183105469,69.5,67.83999633789062,68.36000061035156,1201100.0,82107196.73309326,1.0
2021-08-09,68.62999725341797,68.87999725341797,67.0999984741211,67.88999938964844,1489800.0,101142521.09069824,1.0
2021-08-10,69.33000183105469,70.98999786376953,64.04000091552734,64.94000244140625,2932300.0,190423569.15893555,1.0
2021-08-11,64.7300033569336,65.0,62.63999938964844,64.37999725341797,2040300.0,131354508.39614868,1.0
2021-08-12,64.3499984741211,64.62000274658203,63.38999938964844,63.880001068115234,949300.0,60641285.01396179,1.0
2021-08-13,63.540000915527344,64.19999694824219,63.13999938964844,63.34000015258789,795300.0,50374302.12135315,1.0
2021-08-16,62.68999862670898,63.59999847412109,62.150001525878906,62.22999954223633,1023000.0,63661289.53170776,1.0
2021-08-17,61.63999938964844,62.130001068115234,60.720001220703125,61.41999816894531,1442500.0,88598347.35870361,1.0
2021-08-18,61.20000076293945,62.040000915527344,60.52999877929688,60.93999862670898,1220800.0,74395550.32348633,1.0
2021-08-19,60.27999877929688,61.31999969482422,59.77999877929688,59.93999862670898,1918700.0,115006875.36506651,1.0
2021-08-20,59.43999862670898,60.5099983215332,59.119998931884766,60.41999816894531,1450500.0,87639207.34405518,1.0
2021-08-23,61.16999816894531,62.02000045776367,60.130001068115234,61.560001373291016,2380200.0,146525115.26870728,1.0
