date,open,high,low,close,volume,amount,factor
2021-04-05,1528.81005859375,1533.0,1462.0,1503.449951171875,344400.0,517788163.18359375,1.0
2021-04-06,1505.0,1569.8900146484375,1505.0,1547.7900390625,538600.0,833639715.0390625,1.0
2021-04-07,1545.1400146484375,1548.3599853515625,1515.0,1542.0,319400.0,492514800.0,1.0
2021-04-08,1574.0400390625,1600.199951171875,1570.0,1588.0,530300.0,842116400.0,1.0
2021-04-09,1579.989990234375,1593.56005859375,1543.030029296875,1584.72998046875,354600.0,561945251.0742188,1.0
2021-04-12,1563.1099853515625,1598.0,1559.219970703125,1593.6500244140625,289300.0,461042952.0629883,1.0
2021-04-13,1610.0,1629.2900390625,1583.739990234375,1598.199951171875,292200.0,466994025.7324219,1.0
2021-04-14,1608.010009765625,1616.5699462890625,1536.4200439453125,1546.56005859375,363400.0,562019925.2929688,1.0
2021-04-15,1572.22998046875,1609.5799560546875,1569.1400146484375,1599.47998046875,403100.0,644750380.1269531,1.0
2021-04-16,1602.0,1613.3800048828125,1571.030029296875,1591.8800048828125,312600.0,497621689.5263672,1.0
2021-04-19,1571.260009765625,1593.989990234375,1531.68994140625,1570.989990234375,321900.0,505701677.8564453,1.0
2021-04-20,1560.06005859375,1567.0899658203125,1506.47998046875,1533.4100341796875,412900.0,633145003.112793,1.0
2021-04-21,1514.3399658203125,1578.5699462890625,1514.3399658203125,1576.989990234375,378800.0,597363808.3007812,1.0
2021-04-22,1569.6600341796875,1592.5699462890625,1548.0799560546875,1563.4599609375,342000.0,534703306.640625,1.0
2021-04-23,1580.31005859375,1614.0899658203125,1573.9599609375,1600.9100341796875,309200.0,495001382.5683594,1.0
2021-04-26,1598.4200439453125,1624.6800537109375,1570.4599609375,1623.010009765625,361000.0,585906613.5253906,1.0
2021-04-27,1635.0,1649.9100341796875,1602.0699462890625,1604.93994140625,307300.0,493198043.9941406,1.0
2021-04-28,1601.7099609375,1647.4000244140625,1571.4599609375,1622.0,433600.0,703299200.0,1.0
2021-04-29,1631.280029296875,1635.81005859375,1577.6800537109375,1588.22998046875,313800.0,498386567.87109375,1.0
2021-04-30,1562.6700439453125,1605.0,1560.5,1570.97998046875,271200.0,426049770.703125,1.0
2021-05-03,1579.0,1625.06005859375,1565.010009765625,1571.530029296875,334300.0,525362488.7939453,1.0
2021-05-04,1550.1700439453125,1550.1700439453125,1489.0,1526.9100341796875,439200.0,670618887.0117188,1.0
2021-05-05,1536.81005859375,1569.6600341796875,1516.0400390625,1530.5400390625,384700.0,588798753.0273438,1.0
2021-05-06,1552.02001953125,1552.02001953125,1432.3800048828125,1446.3399658203125,1009300.0,1459790927.5024414,1.0
2021-05-07,1468.6700439453125,1517.0,1462.25,1481.260009765625,642300.0,951413304.2724608,1.0
2021-05-10,1460.780029296875,1464.300048828125,1378.2099609375,1384.4599609375,649000.0,898514514.6484375,1.0
2021-05-11,1303.9300537109375,1402.77001953125,1300.0,1381.4200439453125,704400.0,973072278.955078,1.0
2021-05-12,1341.8399658203125,1361.030029296875,1300.06005859375,1302.489990234375,753500.0,981426207.6416016,1.0
2021-05-13,1309.0899658203125,1317.81005859375,1262.3800048828125,1296.6500244140625,772400.0,1001532478.857422,1.0
2021-05-14,1329.969970703125,1332.0,1302.0,1323.0999755859375,473000.0,625826288.4521484,1.0
2021-05-17,1309.02001953125,1344.3699951171875,1305.0,1336.780029296875,364800.0,487657354.6875,1.0
2021-05-18,1339.1300048828125,1370.0,1336.9100341796875,1346.06005859375,372000.0,500734341.796875,1.0
2021-05-19,1303.1600341796875,1334.9599609375,1297.969970703125,1322.31005859375,627200.0,829352868.75,1.0
2021-05-20,1333.9300537109375,1376.030029296875,1333.9300537109375,1374.989990234375,594200.0,817019052.1972656,1.0
2021-05-21,1393.0,1406.1600341796875,1356.77001953125,1367.1199951171875,553700.0,756974341.2963867,1.0
2021-05-24,1373.4300537109375,1385.18994140625,1363.6400146484375,1367.3299560546875,265100.0,362479171.35009766,1.0
2021-05-25,1377.010009765625,1396.6400146484375,1363.5,1365.4200439453125,319300.0,435978620.0317383,1.0
2021-05-26,1381.72998046875,1405.0899658203125,1371.0,1385.469970703125,398600.0,552248330.3222656,1.0
2021-05-27,1373.0,1382.97998046875,1344.6099853515625,1355.0,712300.0,965166500.0,1.0
2021-05-28,1378.02001953125,1382.489990234375,1357.010009765625,1358.6700439453125,351500.0,477572520.4467773,1.0
2021-06-01,1371.7900390625,1380.010009765625,1341.969970703125,1368.8699951171875,437000.0,598196187.8662109,1.0
2021-06-02,1369.510009765625,1378.9300537109375,1348.68994140625,1362.449951171875,287400.0,391568115.9667969,1.0
2021-06-03,1341.0899658203125,1354.030029296875,1318.8699951171875,1324.1500244140625,299200.0,396185687.3046875,1.0
2021-06-04,1341.8800048828125,1349.280029296875,1320.0,1325.4200439453125,348300.0,461643801.30615234,1.0
2021-06-07,1320.510009765625,1329.5,1303.469970703125,1325.18994140625,322700.0,427638794.0917969,1.0
2021-06-08,1333.77001953125,1342.81005859375,1300.43994140625,1311.530029296875,485900.0,637272441.2353516,1.0
2021-06-09,1327.8299560546875,1343.5,1313.2900390625,1316.6600341796875,382900.0,504149127.0874024,1.0
2021-06-10,1314.06005859375,1380.699951171875,1310.6199951171875,1373.3499755859375,594600.0,816593895.4833984,1.0
2021-06-11,1380.0,1406.699951171875,1379.300048828125,1392.75,485100.0,675623025.0,1.0
2021-06-14,1396.22998046875,1438.06005859375,1390.68994140625,1432.6300048828125,477700.0,684367353.3325195,1.0
2021-06-15,1438.1199951171875,1455.8299560546875,1400.0,1404.780029296875,482900.0,678368276.1474609,1.0
2021-06-16,1410.5400390625,1438.6400146484375,1393.199951171875,1427.22998046875,419800.0,599151145.8007812,1.0
2021-06-17,1410.0,1468.4100341796875,1409.010009765625,1462.5799560546875,462100.0,675858197.6928711,1.0
2021-06-18,1465.0999755859375,1482.72998046875,1460.0,1468.06005859375,529700.0,777631413.0371094,1.0
2021-06-21,1468.5999755859375,1485.02001953125,1440.3499755859375,1476.3399658203125,328100.0,484387142.7856445,1.0
2021-06-22,1477.0,1515.0999755859375,1474.3800048828125,1505.0,375000.0,564375000.0,1.0
2021-06-23,1520.449951171875,1535.9300537109375,1504.0400390625,1532.760009765625,355000.0,544129803.4667969,1.0
