date,open,high,low,close,volume,amount,factor
2021-01-04,32.710483409927676,32.82772477069288,32.09077496712771,32.28338623046875,48900,1578657.5866699219,1.0
2021-01-05,32.15777134515212,32.64348600269176,31.923285432758476,32.57649230957031,31000,1009871.2615966797,1.0
2021-01-06,32.635110737132436,33.614916192860456,32.39225182782666,33.405555725097656,50700,1693661.6752624512,1.0
2021-01-07,32.81934155637237,33.045451215832365,32.643479552765754,32.9700813293457,77000,2538696.262359619,1.0
2021-01-08,32.42574781582371,32.81934329311643,32.25825881536936,32.50111770629883,67700,2200325.6687164307,1.0
2021-01-11,32.11589205106985,32.45087005202229,31.806039476670378,32.25825881958008,68000,2193561.5997314453,1.0
2021-01-12,32.3001320611972,32.534614758107274,32.13264305143837,32.409000396728516,19300,625493.7076568604,1.0
2021-01-13,32.16614544475804,32.342007489049834,31.873042037605046,31.94841194152832,29100,929698.7874984741,1.0
2021-01-14,32.03214825424247,32.39224847711202,31.88978468429199,32.18288803100586,31200,1004106.1065673828,1.0
2021-01-15,32.157766697129134,32.6560424004475,31.822788696176698,32.25825881958008,58300,1880656.4891815186,1.0
2021-01-19,32.23313705411386,32.28338151877302,31.99865117221873,32.208011627197266,49700,1600738.177871704,1.0
2021-01-20,32.25826237867453,32.752353227570204,32.13264481581108,32.55974197387695,75500,2458260.51902771,1.0
2021-01-21,32.74397566252964,33.85777487702318,32.74397566252964,33.464176177978516,123600,4136172.1755981445,1.0
2021-01-22,33.33856156831407,33.690285615813266,33.29668691967993,33.45580291748047,66900,2238193.2151794434,1.0
2021-01-25,32.58486240174519,32.735602190987706,32.13599415593763,32.651859283447266,53300,1740344.0998077393,1.0
2021-01-26,31.956783114759975,31.981905349758172,31.412444596158437,31.462692260742188,104300,3281558.80279541,1.0
2021-01-27,31.445939642235864,31.454315849388653,30.85972973043411,31.035594940185547,94700,2939070.8408355713,1.0
2021-01-28,30.717369914302935,31.54643562702833,30.53313166943622,31.34545135498047,83600,2620479.733276367,1.0
2021-01-29,31.30357791449185,31.538060615220257,30.90160620127721,31.01047134399414,42800,1327248.1735229492,1.0
2021-02-01,31.211460326998154,31.65530351643219,31.035598292836067,31.462692260742188,39300,1236483.805847168,1.0
2021-02-02,31.378949464449985,31.75579576917459,31.30357956458759,31.62180519104004,44500,1407170.3310012817,1.0
2021-02-03,31.19471132914225,31.445943264687664,31.127714442550204,31.404071807861328,40200,1262443.6866760254,1.0
2021-02-04,30.549882185244233,30.742493451860195,30.390769363584315,30.658750534057617,42700,1309128.6478042603,1.0
2021-02-05,30.566631378825335,31.094220705327924,30.520571815701196,30.968603134155273,59000,1827147.5849151611,1.0
2021-02-08,30.842986953626983,31.094218886690708,30.675497933388712,31.060720443725586,50200,1559248.1662750244,1.0
