date,volume,session_status,secondary_status,secondary_open_return_difference,open_research_eligible
2019-11-26,0.000000000000,zero_volume,missing_in_secondary,,False
2019-11-29,0.000000000000,zero_volume,missing_in_secondary,,False
2019-12-06,0.000000000000,zero_volume,missing_in_secondary,,False
2019-12-13,0.000000000000,zero_volume,missing_in_secondary,,False
2019-12-17,0.000000000000,zero_volume,missing_in_secondary,,False
2019-12-18,0.000000000000,zero_volume,missing_in_secondary,,False
2019-12-19,0.000000000000,zero_volume,missing_in_secondary,,False
2019-12-20,116730400.000000000000,traded,common,,True
2019-12-23,60042800.000000000000,traded,common,0.000000025714,True
2019-12-24,20161100.000000000000,traded,common,0.000000075368,True
2019-12-25,21964700.000000000000,traded,common,0.000000021217,True
2019-12-26,78886800.000000000000,traded,common,0.000000012918,True
2019-12-27,71982800.000000000000,traded,common,0.000000004816,True
2019-12-30,59691000.000000000000,traded,common,0.000000046730,True
2019-12-31,47064500.000000000000,traded,common,0.000000035810,True
2020-01-02,76644000.000000000000,traded,common,0.005922940579,True
2020-01-03,42911500.000000000000,traded,common,0.005899413838,True
2020-01-06,73513200.000000000000,traded,common,0.000000020299,True
2020-01-07,53939200.000000000000,traded,common,0.000000020417,True
2020-01-08,35546400.000000000000,traded,common,0.008729384233,True
2020-01-09,43089000.000000000000,traded,common,0.008771874788,True
2020-01-10,34394800.000000000000,traded,common,0.000000024816,True
2020-01-13,31341700.000000000000,traded,common,0.005785941323,True
2020-01-14,70539000.000000000000,traded,common,0.005813777048,True
2020-01-15,21085400.000000000000,traded,common,0.000000044796,True
2020-01-16,36003500.000000000000,traded,common,0.000000024751,True
2020-01-17,24785500.000000000000,traded,common,0.000000065042,True
2020-01-20,19322900.000000000000,traded,common,0.000000020365,True
2020-01-21,40139700.000000000000,traded,common,0.000000004536,True
2020-01-22,29038600.000000000000,traded,common,0.000000031503,True
2020-01-23,54633500.000000000000,traded,common,0.000000000000,True
2020-02-03,66812700.000000000000,traded,common,0.000000011410,True
2020-02-04,39000529.000000000000,traded,common,0.000000003974,True
2020-02-05,37174200.000000000000,traded,common,0.000000039963,True
2020-02-06,31864000.000000000000,traded,common,0.000000032797,True
2020-02-07,23798900.000000000000,traded,common,0.000000044696,True
2020-02-10,36259512.000000000000,traded,common,0.000000054500,True
2020-02-11,25692100.000000000000,traded,common,0.000000007513,True
2020-02-12,19272100.000000000000,traded,common,0.000000008443,True
2020-02-13,23720200.000000000000,traded,common,0.000000004848,True
2020-02-14,21870000.000000000000,traded,common,0.000000008350,True
2020-02-17,31545600.000000000000,traded,common,0.000000051646,True
2020-02-18,41626000.000000000000,traded,common,0.000000006833,True
2020-02-19,22003300.000000000000,traded,common,0.000000000000,True
2020-02-20,46154810.000000000000,traded,common,0.000000020856,True
2020-02-21,47750600.000000000000,traded,common,0.000000009537,True
2020-02-24,33656400.000000000000,traded,common,0.000000004674,True
2020-02-25,39614429.000000000000,traded,common,0.000000013885,True
2020-02-26,36316390.000000000000,traded,common,0.000000009537,True
2020-02-27,23315000.000000000000,traded,common,0.000000009730,True
2020-02-28,43607790.000000000000,traded,common,0.000000008106,True
2020-03-02,33401000.000000000000,traded,common,0.000000002103,True
2020-03-03,30273300.000000000000,traded,common,0.000000008814,True
2020-03-04,30341700.000000000000,traded,common,0.000000036666,True
2020-03-05,40688600.000000000000,traded,common,0.000000053979,True
2020-03-06,23947700.000000000000,traded,common,0.001945525292,True
2020-03-09,39224700.000000000000,traded,common,0.001907741559,True
2020-03-10,31431300.000000000000,traded,common,0.000000005960,True
2020-03-11,21987100.000000000000,traded,common,0.000000006191,True
2020-03-12,28045700.000000000000,traded,common,0.000000034824,True
2020-03-13,36707200.000000000000,traded,common,0.000000004428,True
2020-03-16,36061700.000000000000,traded,common,0.000000031746,True
2020-03-17,31014900.000000000000,traded,common,0.000000015866,True
2020-03-18,21579800.000000000000,traded,common,0.000000022206,True
2020-03-19,45224400.000000000000,traded,common,0.000000028608,True
2020-03-20,17385700.000000000000,traded,common,0.000000000000,True
2020-03-23,27381300.000000000000,traded,common,0.000000017416,True
2020-03-24,15887200.000000000000,traded,common,0.000000028070,True
2020-03-25,15057100.000000000000,traded,common,0.000000044211,True
2020-03-26,9995200.000000000000,traded,common,0.000000003774,True
2020-03-27,14850400.000000000000,traded,common,0.000000040994,True
2020-03-30,15208100.000000000000,traded,common,0.000000008536,True
2020-03-31,13941900.000000000000,traded,common,0.001070663812,True
2020-04-01,29179100.000000000000,traded,common,0.001060325479,True
2020-04-02,19263800.000000000000,traded,common,0.000000045239,True
2020-04-03,12039800.000000000000,traded,common,0.000000049651,True
2020-04-07,16393600.000000000000,traded,common,0.000000019104,True
2020-04-08,10106700.000000000000,traded,common,0.000000027446,True
2020-04-09,18017400.000000000000,traded,common,0.000000022348,True
2020-04-10,17565400.000000000000,traded,common,0.000000022206,True
2020-04-13,9817500.000000000000,traded,common,0.000000033763,True
2020-04-14,12276100.000000000000,traded,common,0.000000018911,True
