date,volume,session_status,secondary_status,independent_raw_status,open_research_eligible
2011-06-30,168877608.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-04,65893773.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-05,114324249.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-06,93890157.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-07,67935051.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-08,52519305.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-11,39290199.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-12,54181059.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-13,50344572.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-14,58141431.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-15,41840430.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-18,94097784.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-19,48257130.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-20,33051855.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-21,30219381.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-22,18431013.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-25,25718634.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-26,16405002.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-27,29752701.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-28,17297838.000000000000,traded,secondary_unavailable,confirmed,True
2011-07-29,15367482.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-01,24937584.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-02,52124763.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-03,39845946.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-04,25972845.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-05,21927954.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-08,27171180.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-09,26994807.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-10,22069893.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-11,15677883.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-12,20497539.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-15,35023263.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-16,20099709.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-17,11369121.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-18,14098272.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-19,11550630.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-22,10354698.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-23,16995606.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-24,23717148.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-25,18074340.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-26,15970962.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-29,10438410.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-30,16362192.000000000000,traded,secondary_unavailable,confirmed,True
2011-08-31,16344885.000000000000,traded,secondary_unavailable,confirmed,True
