date,open,high,low,close,factor,adjustment_anchor_date,adjustment_anchor_factor,price_role,volume,open_research_eligible,mom_2,mom_120,open_mom_120,skip_recent_20_60,skip_recent_20_120,skip_recent_10_40,momentum_accel_20_60,momentum_accel_10_40,short_continuation_long_reversal,drawdown_120,drawdown_252,distance_from_low_20,distance_from_low_60,distance_from_low_120,range_position_252,drawdown120_x_rebound20,drawdown252_x_rebound60,trend_slope_120,open_return_autocorr_20,intraday_range,sma_60,sma_120,sma_200,mom_20,mom_60,realized_vol_60,historical_vol_median,market_state,vol_state,forward_open_return_5,forward_open_return_10,forward_open_return_20,ma200_distance,ma_state,mom_12m,mom_accel_20_60,long_reversal,short_continuation,price_to_ma200,price_to_ma60,price_percentile_3y,valuation_expansion,rsi_14,rsi_oversold,rsi_overbought,rsi_extreme,realized_vol_20,vol_regime_high,trend_slope_60,open_autocorr_20,regime_label,forward_return
2011-06-30,6.95688324,8.28185320,6.95688324,8.04784870,0.94866594,2026-08-03,1.00000000,adjusted_feature_and_label,168877608.00000000,True,,,,,,,,,,,,,,,,,,,,0.16463654,,,,,,,,sideways,low,0.13573420,0.03150987,-0.02839318,,0,,,,,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.12590920
2011-07-04,9.13248902,9.73963547,9.03762208,9.73963547,0.94866582,2026-08-03,1.00000000,adjusted_feature_and_label,65893773.00000000,True,,,,,,,,,,,,,,,,,,,,0.07207799,,,,,,,,sideways,low,-0.00915192,-0.05125068,-0.12568633,,0,,,,,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.33310236
2011-07-05,10.36575556,10.71359984,10.08431851,10.45113564,0.94866589,2026-08-03,1.00000000,adjusted_feature_and_label,114324249.00000000,True,0.29862477,,,,,,,,,,,,,,,,,,,0.06021177,,,,,,,,sideways,low,-0.06036585,-0.07012199,-0.07926825,,0,,,,,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.36089066
2011-07-06,10.37208036,11.24169105,10.15388674,10.56181335,0.94866588,2026-08-03,1.00000000,adjusted_feature_and_label,93890157.00000000,True,0.08441567,,,,,,,,,,,,,,,,,,,0.10299409,,,,,,,,sideways,low,-0.05770378,-0.09214478,-0.08459206,,0,,,,,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.39024386
2011-07-07,10.46694551,10.74205856,10.30251026,10.62189388,0.94866580,2026-08-03,1.00000000,adjusted_feature_and_label,67935051.00000000,True,0.01633873,,,,,,,,,,,,,,,,,,,0.04138135,,,,,,,,sideways,low,-0.10778431,-0.12574848,-0.14580826,,0,,,,,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.41993948
2011-07-08,10.56181327,10.64403136,10.07483147,10.45745945,0.94866587,2026-08-03,1.00000000,adjusted_feature_and_label,52519305.00000000,True,-0.00988030,,,,,,,,,,,,,,,,,,,0.05443004,,,,,,,,sideways,low,-0.09176823,-0.11554879,-0.14634146,,0,,,,0.29941054,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.42215570
2011-07-11,10.37208008,10.63138138,10.28037512,10.38156605,0.94866586,2026-08-03,1.00000000,adjusted_feature_and_label,39290199.00000000,True,-0.02262570,,,,,,,,,,,,,,,,,,,0.03381053,,,,,,,,sideways,low,-0.04248761,-0.14778326,-0.22937191,,0,,,,0.06590910,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.43323167
2011-07-12,10.27088904,10.31832252,9.86612530,9.96415424,0.94866593,2026-08-03,1.00000000,adjusted_feature_and_label,54181059.00000000,True,-0.04717257,,,,,,,,,,,,,,,,,,,0.04538240,,,,,,,,sideways,low,-0.01038291,-0.09474365,-0.12427003,,0,,,,-0.04659603,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.44612080
2011-07-13,9.74596093,9.89774824,9.65109487,9.86296272,0.94866596,2026-08-03,1.00000000,adjusted_feature_and_label,50344572.00000000,True,-0.04995425,,,,,,,,,,,,,,,,,,,0.02500804,,,,,,,,sideways,low,-0.03655007,-0.08303949,-0.19685778,,0,,,,-0.06616767,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.39974045
2011-07-14,9.86296315,9.98312784,9.27479033,9.48666000,0.94866600,2026-08-03,1.00000000,adjusted_feature_and_label,58141431.00000000,True,-0.04792120,,,,,,,,,,,,,,,,,,,0.07466669,,,,,,,,sideways,low,-0.02013434,-0.04664434,-0.10234922,,0,,,,-0.10687679,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.37479968
2011-07-15,9.42341553,9.54358022,9.21154677,9.42657661,0.94866599,2026-08-03,1.00000000,adjusted_feature_and_label,41840430.00000000,True,-0.04424493,,,,,,,,,,,,,,,,,,,0.03522312,,,,,,,,sideways,low,-0.02618336,-0.05807317,-0.09365561,,0,,,,-0.09857871,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.34228195
2011-07-18,9.42025260,10.30883524,9.39495396,10.13175201,0.94866589,2026-08-03,1.00000000,adjusted_feature_and_label,94097784.00000000,True,0.06799991,,,,,,,,,,,,,,,,,,,0.09019973,,,,,,,,sideways,low,-0.10996792,-0.07845661,-0.09003225,,0,,,,-0.02406323,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.34541802
2011-07-19,9.83450353,9.94201936,9.45503749,9.50247097,0.94866601,2026-08-03,1.00000000,adjusted_feature_and_label,48257130.00000000,True,0.00805111,,,,,,,,,,,,,,,,,,,0.05124792,,,,,,,,sideways,low,-0.08524584,-0.00983598,-0.09836057,,0,,,,-0.04633442,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.40289384
2011-07-20,9.64476945,9.88193593,9.51511879,9.61314774,0.94866591,2026-08-03,1.00000000,adjusted_feature_and_label,33051855.00000000,True,-0.05118604,,,,,,,,,,,,,,,,,,,0.03815786,,,,,,,,sideways,low,-0.04825307,0.00831930,-0.07420995,,0,,,,-0.02532859,,,,,,0.00000000,0.00000000,0,,0.00000000,,,0,-0.37377042
2011-07-21,9.50247114,9.51828200,9.17360057,9.22103405,0.94866603,2026-08-03,1.00000000,adjusted_feature_and_label,30219381.00000000,True,-0.02961724,,,,,,,,,,,,,,,,,,,0.03737991,,,,,,,,sideways,low,-0.02705473,-0.02294509,-0.10958915,,0,,,,-0.02799994,,,,,85.71708041,0.00000000,1.00000000,1,,0.00000000,,,0,-0.36738774
2011-07-22,9.23368126,9.36016993,9.11035548,9.29692650,0.94866595,2026-08-03,1.00000000,adjusted_feature_and_label,18431013.00000000,True,-0.03289466,,,,,,,,,,,,,,,,,,,0.02687065,,,,,,,,sideways,low,-0.03274725,-0.03481557,-0.09996542,,0,,,,-0.01375368,,,,,85.81570759,0.00000000,1.00000000,1,,0.00000000,,,0,-0.33458910
2011-07-25,9.17359878,9.21786936,8.69610297,8.74669933,0.94866584,2026-08-03,1.00000000,adjusted_feature_and_label,25718634.00000000,True,-0.05144051,,,,,,,,,,,,,,,,,,,0.05965295,,,,,,,,sideways,low,0.03540470,-0.09573697,-0.04804919,,0,,,,-0.13670416,,,,,81.42566184,0.00000000,1.00000000,1,,0.00000000,,,0,-0.28541881
2011-07-26,8.75302362,8.94908150,8.63918292,8.86053944,0.94866588,2026-08-03,1.00000000,adjusted_feature_and_label,16405002.00000000,True,-0.04693885,,,,,,,,,,,,,,,,,,,0.03497514,,,,,,,,sideways,low,0.08243729,-0.03261659,-0.04659512,,0,,,,-0.06755417,,,,,81.63499178,0.00000000,1.00000000,1,,0.00000000,,,0,-0.25108379
2011-07-27,8.82259301,9.26846624,8.66448173,9.23368073,0.94866590,2026-08-03,1.00000000,adjusted_feature_and_label,29752701.00000000,True,0.05567602,,,,,,,,,,,,,,,,,,,0.06541102,,,,,,,,sideways,low,0.05944056,-0.12412562,-0.10664332,,0,,,,-0.03947375,,,,,82.33762672,0.00000000,1.00000000,1,,0.00000000,,,0,-0.24767038
2011-07-28,9.04394769,9.07556940,8.82575497,8.98070335,0.94866589,2026-08-03,1.00000000,adjusted_feature_and_label,17297838.00000000,True,0.01356169,,,,,,,,,,,0.11591354,,,,,,,,0.02781680,,,,,,,,sideways,low,0.00422392,-0.05843032,-0.09151708,,0,,,,-0.02606331,,,,,80.10011751,0.00000000,1.00000000,1,,0.00000000,,,0,-0.23076917
2011-07-29,8.98386649,9.23368093,8.85737692,8.90797329,0.94866592,2026-08-03,1.00000000,adjusted_feature_and_label,15367482.00000000,True,-0.03527385,,,,,,,,,,,0.01843826,,,,,,,,0.04224350,,,,0.10687634,,,,sideways,low,-0.00213834,-0.03777622,-0.07270121,,0,,,,-0.04183675,,,,,79.43180765,0.00000000,1.00000000,1,0.06063784,0.00000000,,,0,-0.22879286
2011-08-01,8.87318865,9.35384559,8.85421490,9.20522118,0.94866591,2026-08-03,1.00000000,adjusted_feature_and_label,24937584.00000000,True,0.02500003,,,,,,,,,,,0.05242227,,,,,,,0.69444235,0.05427688,,,,-0.05487005,,,,sideways,low,-0.12665740,-0.01256115,-0.10153531,,0,,,,0.05242227,,,,,80.16037174,0.00000000,1.00000000,1,0.03810935,0.00000000,,0.69444235,0,-0.19493950
2011-08-02,9.06292177,10.10645375,8.92062134,9.68904114,0.94866593,2026-08-03,1.00000000,adjusted_feature_and_label,52124763.00000000,True,0.08768188,,,,,,,,,,,0.10773685,,,,,,,-0.04003607,0.12238904,,,,-0.07291978,,,,sideways,low,-0.10629150,-0.08940396,-0.14966887,,0,,,,0.09350466,,,,,81.32019965,0.00000000,1.00000000,1,0.03620963,0.00000000,,-0.04003607,0,-0.12561061
2011-08-03,9.54990365,10.11910362,9.49614709,9.66690636,0.94866602,2026-08-03,1.00000000,adjusted_feature_and_label,39845946.00000000,True,0.05015471,,,,,,,,,,,0.10520620,,,,,,,-0.00448753,0.06444218,,,,-0.08473043,,,,sideways,low,-0.17326709,-0.08184833,-0.18217816,,0,,,,0.04691798,,,,,81.08664664,0.00000000,1.00000000,1,0.03606653,0.00000000,,-0.00448753,0,-0.15894050
2011-08-04,9.58152505,9.76493314,9.37598030,9.46452236,0.94866581,2026-08-03,1.00000000,adjusted_feature_and_label,25972845.00000000,True,-0.02317245,,,,,,,,,,,0.08206788,,,,,,,0.01986733,0.04109588,,,,-0.10896094,,,,sideways,low,-0.06239071,-0.08867880,-0.15878031,,0,,,,0.05387318,,,,,78.85661602,0.00000000,1.00000000,1,0.03618898,0.00000000,,0.01986733,0,-0.16369647
