ranking_id,feature_family,target_status,cost_bps,total_return,benchmark_return,compounded_relative_excess_return,max_drawdown,turnover,positive_excess_windows
r2_industry_relative_rank,momentum_reversal,eligible,10,0.9222390857,0.3929238159,0.3800030294,-0.1963821534,35.86666667,2
r2_industry_relative_rank,momentum_reversal,eligible,20,0.855115375,0.3929238159,0.3318139541,-0.2038764713,35.86666667,2
r2_industry_relative_rank,momentum_reversal,eligible,40,0.7276806972,0.3929238159,0.2403267698,-0.218673609,35.86666667,2
r2_industry_relative_rank,current_cn_ohlcv,eligible,10,1.166814812,0.3929238159,0.5555874538,-0.2773950149,31.8,3
r2_industry_relative_rank,current_cn_ohlcv,eligible,20,1.099769895,0.3929238159,0.5074549458,-0.2786198254,31.8,3
r2_industry_relative_rank,current_cn_ohlcv,eligible,40,0.9717150362,0.3929238159,0.4155225244,-0.28106532,31.8,3
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,eligible,10,0.9091970253,0.3929238159,0.370639947,-0.2114243126,33.4,4
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,eligible,20,0.8471379916,0.3929238159,0.326086876,-0.216032655,33.4,4
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,eligible,40,0.7288853467,0.3929238159,0.241191605,-0.2270697243,33.4,4
r1_benchmark_relative_rank,current_cn_ohlcv,eligible,10,0.9091970253,0.3929238159,0.370639947,-0.2114243126,33.4,4
r1_benchmark_relative_rank,current_cn_ohlcv,eligible,20,0.8471379916,0.3929238159,0.326086876,-0.216032655,33.4,4
r1_benchmark_relative_rank,current_cn_ohlcv,eligible,40,0.7288853467,0.3929238159,0.241191605,-0.2270697243,33.4,4
r4_two_stage_hierarchical_rank,momentum_reversal,eligible,10,0.6999622338,0.3929238159,0.2204272871,-0.1963036772,37.53333333,3
r4_two_stage_hierarchical_rank,momentum_reversal,eligible,20,0.6378133658,0.3929238159,0.1758097227,-0.2035980463,37.53333333,2
r4_two_stage_hierarchical_rank,momentum_reversal,eligible,40,0.5201189945,0.3929238159,0.09131524432,-0.2181026418,37.53333333,2
r3_risk_residual_rank,momentum_reversal,ineligible_partial_r3,10,0.9403484238,0.3929238159,0.3930039831,-0.2435387015,34.26666667,3
r3_risk_residual_rank,momentum_reversal,ineligible_partial_r3,20,0.875698621,0.3929238159,0.3465909618,-0.2448176088,34.26666667,3
