adjacent_rank_correlation,feature_family,mean_ic,mean_rank_ic,mean_top_bottom_spread,n_adjacent_pairs,n_dates,n_rebalance_transitions,positive_rank_ic_ratio,positive_spread_ratio,rank_icir,ranking_id,rebalance_topk_overlap,target_status,window
0.8942255082,current_cn_ohlcv,0.1319978549,0.07838242511,0.03993255473,115,116,11,0.6724137931,0.7327586207,0.2919980191,r0_cn_x1_0_raw_return_rank,0.3696969697,eligible,2026H1
0.8942255082,current_cn_ohlcv,0.1319978549,0.07838242511,0.03993255473,115,116,11,0.6724137931,0.7327586207,0.2919980191,r1_benchmark_relative_rank,0.3696969697,eligible,2026H1
0.9262977703,current_cn_ohlcv,0.1425771148,0.07204021333,0.04083671829,115,116,11,0.6379310345,0.6810344828,0.2531307567,r2_industry_relative_rank,0.4484848485,eligible,2026H1
0.7742762676,momentum_reversal,0.129085064,0.07733409165,0.03884187524,115,116,11,0.6637931034,0.7672413793,0.3546156603,r2_industry_relative_rank,0.3090909091,eligible,2026H1
0.9253047484,volume_volatility,0.1033236765,0.04063487463,0.03259545955,115,116,11,0.5689655172,0.6637931034,0.1379818994,r2_industry_relative_rank,0.4606060606,eligible,2026H1
0.9333255172,governed_technical_extension,0.1429360533,0.08045722953,0.0405523318,115,116,11,0.6551724138,0.6896551724,0.2878308833,r2_industry_relative_rank,0.4060606061,eligible,2026H1
0.8455779288,current_cn_ohlcv,0.06892778012,0.03091995427,0.01683352302,115,116,11,0.6379310345,0.7327586207,0.2331118212,r4_two_stage_hierarchical_rank,0.3878787879,eligible,2026H1
0.6949638345,momentum_reversal,0.07199257514,0.04417521104,0.01981834551,115,116,11,0.6465517241,0.775862069,0.4232492526,r4_two_stage_hierarchical_rank,0.2545454545,eligible,2026H1
0.8254794333,volume_volatility,0.04215577763,0.002398082461,0.01255749531,115,116,11,0.5,0.6551724138,0.01800449779,r4_two_stage_hierarchical_rank,0.3333333333,eligible,2026H1
0.8543841136,governed_technical_extension,0.062813312,0.02403546367,0.01803093445,115,116,11,0.6637931034,0.775862069,0.2062753591,r4_two_stage_hierarchical_rank,0.3515151515,eligible,2026H1
0.9229283164,current_cn_ohlcv,-0.5467478213,-0.5496847095,-0.1870302255,12,13,1,0,0,-8.2078381,r0_cn_x1_0_raw_return_rank,0.2,eligible,2026H2_PARTIAL
0.9229283164,current_cn_ohlcv,-0.5467478213,-0.5496847095,-0.1870302255,12,13,1,0,0,-8.2078381,r1_benchmark_relative_rank,0.2,eligible,2026H2_PARTIAL
0.9290341778,current_cn_ohlcv,-0.5702195619,-0.5770849099,-0.1874748419,12,13,1,0,0,-6.863893612,r2_industry_relative_rank,0.3333333333,eligible,2026H2_PARTIAL
0.6729115184,momentum_reversal,-0.3424395929,-0.3467144519,-0.1181039454,12,13,1,0,0,-5.916088123,r2_industry_relative_rank,0.06666666667,eligible,2026H2_PARTIAL
0.9355404595,volume_volatility,-0.6024581777,-0.5969626556,-0.2068296383,12,13,1,0,0,-6.082210746,r2_industry_relative_rank,0.3333333333,eligible,2026H2_PARTIAL
0.9663044799,governed_technical_extension,-0.5781787057,-0.5730228923,-0.193352584,12,13,1,0,0,-6.030881852,r2_industry_relative_rank,0.2666666667,eligible,2026H2_PARTIAL
0.813980559,current_cn_ohlcv,-0.3015415835,-0.2877296387,-0.1032742161,12,13,1,0,0,-4.663852725,r4_two_stage_hierarchical_rank,0.1333333333,eligible,2026H2_PARTIAL
0.6267258708,momentum_reversal,-0.2021008335,-0.185331712,-0.07014447926,12,13,1,0,0,-3.660219147,r4_two_stage_hierarchical_rank,0.2666666667,eligible,2026H2_PARTIAL
0.8204160901,volume_volatility,-0.3014493592,-0.2752618155,-0.103503125,12,13,1,0,0,-5.77317856,r4_two_stage_hierarchical_rank,0.3333333333,eligible,2026H2_PARTIAL
0.8997054598,governed_technical_extension,-0.3003184715,-0.2818228765,-0.09451172544,12,13,1,0,0,-3.846895465,r4_two_stage_hierarchical_rank,0.3333333333,eligible,2026H2_PARTIAL
