component,window,mean_rank_ic,mean_incremental_rank_ic,mean_spread,n_dates,mean_names
abnormal_gap_1,2022H2,0.2459992501,0.1560557298,0.03948295578,3,10.33333333
abnormal_gap_1,2023H1,0.01363636364,0.0335973798,0.004565946658,2,11
abnormal_gap_1,2023H2,0.1660561661,0.1619063065,0.03365003706,3,10.33333333
abnormal_return_1,2022H2,0.02943722944,0.06300604458,-0.02747561694,3,10.33333333
abnormal_return_1,2023H1,-0.1045454545,-0.05745868226,-0.01499817799,2,11
abnormal_return_1,2023H2,0.2114774115,0.2489996158,0.01456624825,3,10.33333333
abnormal_return_3,2022H2,0.3046842047,0.3881332867,0.05042382975,3,10.33333333
abnormal_return_3,2023H1,-0.1772727273,-0.177675661,-0.05756449707,2,11
abnormal_return_3,2023H2,-0.1338328338,-0.2559806459,-0.02846114439,3,10.33333333
amount_ratio_1,2022H2,-0.006060606061,-0.001965632295,-0.002506217612,3,10.33333333
amount_ratio_1,2023H1,0.02727272727,0.1079941027,-0.007393942556,2,11
amount_ratio_1,2023H2,-0.0004995004995,-0.09460931977,-0.003931967612,3,10.33333333
amount_ratio_3,2022H2,0.05143745144,0.2498114371,-0.003589591681,3,10.33333333
amount_ratio_3,2023H1,-0.06363636364,-0.01551881272,-0.01963074621,2,11
amount_ratio_3,2023H2,0.02899322899,-0.1709519681,-0.04433840137,3,10.33333333
