event_family,half_year,unique_events,unique_symbols,revision_rate,announcement_timestamp_completeness,first_session_mapping_ratio,primary_reconciliation_ratio,fixed_top3_rows,fixed_recent_top3_rows,fixed_recent_top3_coverage,fixed_distinct_top3_events,fixed_max_sector_share,event_driven_top3_events,event_driven_symbols,event_driven_sectors,event_driven_max_sector_share,event_driven_max_stage_share
buyback,2022H1,179,33,0,1,1,1,0,0,0,0,0,0,0,0,0,0
buyback,2022H2,185,32,0,1,1,1,156,25,0.1602564103,25,0.32,12,6,3,0.4166666667,0.5
buyback,2023H1,137,31,0,1,1,1,144,21,0.1458333333,18,0.2777777778,16,9,5,0.3125,0.6875
buyback,2023H2,238,39,0,1,1,1,153,19,0.1241830065,17,0.2941176471,21,14,6,0.3333333333,0.4285714286
buyback,2024H1,261,45,0,1,1,1,141,35,0.2482269504,30,0.2333333333,25,14,6,0.28,0.48
buyback,2024H2,221,42,0,1,1,1,154,40,0.2597402597,34,0.3235294118,20,14,5,0.35,0.65
buyback,2025H1,282,52,0,1,1,1,141,33,0.2340425532,30,0.3333333333,28,19,6,0.2857142857,0.4285714286
buyback,2025H2,244,47,0,1,1,1,154,45,0.2922077922,45,0.4,32,19,7,0.34375,0.78125
buyback,2026H1,225,41,0,1,1,1,142,17,0.1197183099,16,0.5,14,10,5,0.5714285714,0.4285714286
buyback,2026H2,65,33,0,1,0.9692307692,1,0,0,0,0,0,2,2,2,0.5,1
buyback,2026H2_PARTIAL,0,0,0,0,0,0,24,5,0.2083333333,4,0.5,0,0,0,0,0
restricted_unlock,2022H1,34,28,0,1,1,1,0,0,0,0,0,0,0,0,0,0
restricted_unlock,2022H2,34,24,0,1,1,1,156,6,0.03846153846,4,0.5,1,1,1,1,1
restricted_unlock,2023H1,32,27,0,1,1,1,144,14,0.09722222222,10,0.4,4,4,3,0.5,1
restricted_unlock,2023H2,26,18,0,1,1,1,153,4,0.02614379085,3,0.6666666667,1,1,1,1,1
restricted_unlock,2024H1,19,16,0,1,1,1,141,6,0.04255319149,4,0.5,3,3,2,0.6666666667,1
restricted_unlock,2024H2,31,16,0,1,1,1,154,7,0.04545454545,6,0.6666666667,4,3,2,0.75,1
restricted_unlock,2025H1,12,11,0,1,1,1,141,8,0.05673758865,5,0.6,0,0,0,0,0
restricted_unlock,2025H2,21,13,0,1,1,1,154,1,0.006493506494,1,1,2,1,1,1,1
restricted_unlock,2026H1,17,15,0,1,1,1,142,5,0.03521126761,3,0.6666666667,3,3,3,0.3333333333,1
restricted_unlock,2026H2,7,6,0,1,1,1,0,0,0,0,0,0,0,0,0,0
restricted_unlock,2026H2_PARTIAL,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0
