fiscal_period,fiscal_year,symbols,rows,median_components
FY,2018,117,117,2
FY,2019,120,120,6
FY,2020,121,121,6
FY,2021,123,123,6
FY,2022,126,126,6
FY,2023,128,128,6
FY,2024,128,128,6
FY,2025,128,128,6
Q1,2019,117,117,2
Q1,2020,120,120,6
Q1,2021,121,121,6
Q1,2022,124,124,6
Q1,2023,127,127,6
Q1,2024,128,128,6
Q1,2025,128,128,6
Q1,2026,128,128,6
Q2,2019,120,120,2
Q2,2020,121,121,6
Q2,2021,121,121,6
Q2,2022,125,125,6
Q2,2023,128,128,6
Q2,2024,128,128,6
Q2,2025,128,128,6
Q2,2026,2,2,6
Q3,2019,120,120,2
Q3,2020,120,120,6
Q3,2021,122,122,6
Q3,2022,126,126,6
Q3,2023,128,128,6
Q3,2024,128,128,6
Q3,2025,128,128,6
