window,variant_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,mean_exposure,cash_period_ratio,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_name,top_sector
2026H1,always_invested,20,0.1915053391,-0.007339159856,0.2003146401,-0.3398457796,10.25,1,1,0,0.2325518642,0.6574217636,603629,Technology
2026H2_PARTIAL,always_invested,20,-0.04703939694,-0.05456349508,0.007958332584,-0.06473570757,2,1,1,0,0.2750506116,0.4569151218,600184,Technology
2026H1,fourth_sector_score_fixed_0_80,20,0.2272175261,-0.007339159856,0.2362908624,-0.3116359932,10.5,1,0.8541666667,0.5,0.2437894283,0.6628222107,603629,Technology
2026H2_PARTIAL,fourth_sector_score_fixed_0_80,20,-0.05769032054,-0.05456349508,-0.003307282343,-0.06124358819,1.5,0,0.75,1,0.3177918363,0.5495091414,600184,Technology
2026H1,sector_gap_fixed_0_10,20,0.1915053391,-0.007339159856,0.2003146401,-0.3398457796,10.25,1,1,0,0.2325518642,0.6574217636,603629,Technology
2026H2_PARTIAL,sector_gap_fixed_0_10,20,-0.04703939694,-0.05456349508,0.007958332584,-0.06473570757,2,1,1,0,0.2750506116,0.4569151218,600184,Technology
2026H1,combined_fixed_thresholds,20,0.2272175261,-0.007339159856,0.2362908624,-0.3116359932,10.5,1,0.8541666667,0.5,0.2437894283,0.6628222107,603629,Technology
2026H2_PARTIAL,combined_fixed_thresholds,20,-0.05769032054,-0.05456349508,-0.003307282343,-0.06124358819,1.5,0,0.75,1,0.3177918363,0.5495091414,600184,Technology
2026H1,risk_off_half_cash,20,0.1010798687,-0.007339159856,0.1092206161,-0.3398457796,9.75,1,0.9166666667,0.1666666667,0.1781437816,0.6113856304,603629,Technology
2026H2_PARTIAL,risk_off_half_cash,20,-0.04703939694,-0.05456349508,0.007958332584,-0.06473570757,2,1,1,0,0.2750506116,0.4569151218,600184,Technology
2026H1,risk_off_full_cash,20,0.01075108094,-0.007339159856,0.01822398957,-0.3398457796,9.25,1,0.8333333333,0.1666666667,0.1288603128,0.5511639954,688521,Technology
2026H2_PARTIAL,risk_off_full_cash,20,-0.04703939694,-0.05456349508,0.007958332584,-0.06473570757,2,1,1,0,0.2750506116,0.4569151218,600184,Technology
