factor_id,factor,family,mode,state,n_dates,mean_rank_ic,rank_icir,positive_ratio,eligible
momentum_10__global,momentum_10,trend_momentum,global,neutral,54,0.02548221736,0.1562961749,0.4814814815,True
momentum_10__global,momentum_10,trend_momentum,global,repair,90,0.02411531456,0.1316432112,0.5666666667,True
momentum_10__global,momentum_10,trend_momentum,global,risk_off,293,-0.04934277106,-0.2711228336,0.385665529,True
momentum_10__global,momentum_10,trend_momentum,global,risk_on,47,-0.04899594735,-0.323664653,0.4680851064,True
momentum_10__sector_relative,momentum_10,trend_momentum,sector_relative,neutral,54,-0.01375280209,-0.105536417,0.4259259259,True
momentum_10__sector_relative,momentum_10,trend_momentum,sector_relative,repair,90,0.001319498802,0.008957721442,0.5888888889,False
momentum_10__sector_relative,momentum_10,trend_momentum,sector_relative,risk_off,293,-0.03060410567,-0.2085964511,0.385665529,True
momentum_10__sector_relative,momentum_10,trend_momentum,sector_relative,risk_on,47,0.008104109934,0.06140136418,0.4893617021,False
momentum_20__global,momentum_20,trend_momentum,global,neutral,54,0.01058337637,0.05451902665,0.5185185185,True
momentum_20__global,momentum_20,trend_momentum,global,repair,90,0.04666142495,0.2661689117,0.5666666667,True
momentum_20__global,momentum_20,trend_momentum,global,risk_off,293,-0.05635087911,-0.2832587975,0.3924914676,True
momentum_20__global,momentum_20,trend_momentum,global,risk_on,47,-0.109598837,-0.5712245774,0.3404255319,True
momentum_20__sector_relative,momentum_20,trend_momentum,sector_relative,neutral,54,-0.02881466146,-0.2089303021,0.5185185185,True
momentum_20__sector_relative,momentum_20,trend_momentum,sector_relative,repair,90,0.02863909874,0.2230023585,0.5888888889,True
momentum_20__sector_relative,momentum_20,trend_momentum,sector_relative,risk_off,293,-0.03756333271,-0.2504057372,0.3754266212,True
momentum_20__sector_relative,momentum_20,trend_momentum,sector_relative,risk_on,47,-0.0338860449,-0.2142501148,0.5319148936,True
trend_efficiency_20__global,trend_efficiency_20,trend_momentum,global,neutral,54,-0.02033633654,-0.1889194924,0.4444444444,True
trend_efficiency_20__global,trend_efficiency_20,trend_momentum,global,repair,90,0.0534893272,0.395567796,0.6444444444,True
trend_efficiency_20__global,trend_efficiency_20,trend_momentum,global,risk_off,293,0.03210494797,0.257746268,0.638225256,True
trend_efficiency_20__global,trend_efficiency_20,trend_momentum,global,risk_on,47,-0.006953373515,-0.04221756743,0.5744680851,False
trend_efficiency_20__sector_relative,trend_efficiency_20,trend_momentum,sector_relative,neutral,54,-0.008679914561,-0.09119229472,0.4814814815,False
trend_efficiency_20__sector_relative,trend_efficiency_20,trend_momentum,sector_relative,repair,90,0.05557634858,0.5433976067,0.7333333333,True
trend_efficiency_20__sector_relative,trend_efficiency_20,trend_momentum,sector_relative,risk_off,293,0.03256043004,0.3333986548,0.6416382253,True
trend_efficiency_20__sector_relative,trend_efficiency_20,trend_momentum,sector_relative,risk_on,47,0.05797167953,0.374443747,0.6595744681,True
reversal_3__global,reversal_3,short_reversal,global,neutral,54,-0.03279283419,-0.2108920358,0.3888888889,True
reversal_3__global,reversal_3,short_reversal,global,repair,90,-0.009452449765,-0.05428726576,0.5444444444,False
reversal_3__global,reversal_3,short_reversal,global,risk_off,293,0.01056903219,0.05596405639,0.4982935154,True
reversal_3__global,reversal_3,short_reversal,global,risk_on,47,-0.02853649828,-0.2022480168,0.3829787234,True
reversal_3__sector_relative,reversal_3,short_reversal,sector_relative,neutral,54,-0.003924873233,-0.03553281916,0.5,False
reversal_3__sector_relative,reversal_3,short_reversal,sector_relative,repair,90,-0.003950972309,-0.03376419384,0.5,False
reversal_3__sector_relative,reversal_3,short_reversal,sector_relative,risk_off,293,0.02069356925,0.1645348956,0.542662116,True
reversal_3__sector_relative,reversal_3,short_reversal,sector_relative,risk_on,47,-0.04145229583,-0.4287823668,0.3191489362,True
distance_low_20__global,distance_low_20,breakout_position,global,neutral,54,-0.02557581683,-0.1306389893,0.3703703704,True
distance_low_20__global,distance_low_20,breakout_position,global,repair,90,0.04234808915,0.2483829978,0.5777777778,True
distance_low_20__global,distance_low_20,breakout_position,global,risk_off,293,-0.02719796088,-0.1457949807,0.4027303754,True
distance_low_20__global,distance_low_20,breakout_position,global,risk_on,47,-0.1136700715,-0.8448928913,0.1914893617,True
distance_low_20__sector_relative,distance_low_20,breakout_position,sector_relative,neutral,54,-0.04896220643,-0.4140552989,0.3148148148,True
distance_low_20__sector_relative,distance_low_20,breakout_position,sector_relative,repair,90,0.01704022184,0.1229663098,0.5555555556,True
distance_low_20__sector_relative,distance_low_20,breakout_position,sector_relative,risk_off,293,-0.03035735585,-0.2231434595,0.361774744,True
distance_low_20__sector_relative,distance_low_20,breakout_position,sector_relative,risk_on,47,-0.03125891222,-0.234292003,0.5531914894,True
volume_price_confirmation_20__global,volume_price_confirmation_20,volume_price,global,neutral,54,0.04207123712,0.3770805121,0.6296296296,True
volume_price_confirmation_20__global,volume_price_confirmation_20,volume_price,global,repair,90,-0.02994663916,-0.2170688741,0.3888888889,True
volume_price_confirmation_20__global,volume_price_confirmation_20,volume_price,global,risk_off,293,-0.006792645457,-0.05099691672,0.4709897611,False
volume_price_confirmation_20__global,volume_price_confirmation_20,volume_price,global,risk_on,47,0.04569269823,0.2975133618,0.5957446809,True
volume_price_confirmation_20__sector_relative,volume_price_confirmation_20,volume_price,sector_relative,neutral,54,0.01153855298,0.1240014843,0.6111111111,True
volume_price_confirmation_20__sector_relative,volume_price_confirmation_20,volume_price,sector_relative,repair,90,-0.01112477218,-0.102926621,0.4666666667,True
volume_price_confirmation_20__sector_relative,volume_price_confirmation_20,volume_price,sector_relative,risk_off,293,0.003420400886,0.03376557153,0.5460750853,False
volume_price_confirmation_20__sector_relative,volume_price_confirmation_20,volume_price,sector_relative,risk_on,47,0.05794375821,0.4379874414,0.6808510638,True
downside_volatility_20__global,downside_volatility_20,risk_quality,global,neutral,54,0.01541876154,0.07023910025,0.5185185185,True
downside_volatility_20__global,downside_volatility_20,risk_quality,global,repair,90,-0.03710599494,-0.2156349044,0.4222222222,True
downside_volatility_20__global,downside_volatility_20,risk_quality,global,risk_off,293,0.02920446224,0.1311394999,0.566552901,True
