factor_a,factor_b,rank_correlation
momentum_5,momentum_5,1
momentum_5,momentum_10,0.6396079004
momentum_5,momentum_20,0.4437855215
momentum_5,momentum_63,0.2274739315
momentum_5,momentum_126,0.1650068698
momentum_5,trend_efficiency_20,0.0602906843
momentum_5,trend_efficiency_60,0.06770874064
momentum_5,positive_day_ratio_20,0.3182032809
momentum_5,positive_day_ratio_60,0.1652314686
momentum_5,reversal_1,-0.3771100724
momentum_5,reversal_3,-0.7176808795
momentum_5,reversal_5,-1
momentum_5,distance_high_20,0.6060946518
momentum_5,distance_high_60,0.4250415085
momentum_5,distance_low_20,0.6000231623
momentum_5,price_to_ma20,0.7016034271
momentum_5,price_to_ma60,0.4114999079
momentum_5,volume_ratio_5,0.1273213037
momentum_5,volume_ratio_20,0.2943740553
momentum_5,amount_ratio_20,0.3662388605
momentum_5,volume_price_confirmation_20,0.1505492111
momentum_5,up_down_volume_ratio_20,0.3724041137
momentum_5,volatility_10,-0.08636210609
momentum_5,volatility_20,-0.04515989757
momentum_5,volatility_60,-0.008656449858
momentum_5,downside_volatility_20,0.1278091578
momentum_5,downside_volatility_60,0.05478037687
momentum_5,idiosyncratic_volatility_60,-0.01014267781
momentum_5,intraday_range_20,-0.02501449494
momentum_5,drawdown_20,0.6060946518
momentum_5,drawdown_63,0.4188054081
momentum_5,recovery_from_low_20,0.6000231623
momentum_5,recovery_from_low_63,0.3658835059
momentum_5,amihud_20,0.02309215286
momentum_5,amount_stability_20,-0.08783295962
momentum_5,residual_momentum_20,0.4291726795
momentum_5,residual_momentum_60,0.2318852635
momentum_10,momentum_5,0.6396079004
momentum_10,momentum_10,1
momentum_10,momentum_20,0.6536971546
momentum_10,momentum_63,0.3334545553
momentum_10,momentum_126,0.2348123081
momentum_10,trend_efficiency_20,0.06750397214
momentum_10,trend_efficiency_60,0.1041131715
momentum_10,positive_day_ratio_20,0.4336527313
momentum_10,positive_day_ratio_60,0.2208409718
momentum_10,reversal_1,-0.2575567612
momentum_10,reversal_3,-0.479734453
momentum_10,reversal_5,-0.6396079004
momentum_10,distance_high_20,0.6821782754
momentum_10,distance_high_60,0.5226928809
momentum_10,distance_low_20,0.734329425
momentum_10,price_to_ma20,0.8894305477
momentum_10,price_to_ma60,0.5812966137
momentum_10,volume_ratio_5,0.04640594881
momentum_10,volume_ratio_20,0.2645571995
momentum_10,amount_ratio_20,0.3598641823
momentum_10,volume_price_confirmation_20,0.06518692767
momentum_10,up_down_volume_ratio_20,0.5173456199
momentum_10,volatility_10,-0.1813785515
momentum_10,volatility_20,-0.09580378643
momentum_10,volatility_60,-0.03274580212
momentum_10,downside_volatility_20,0.1514071324
momentum_10,downside_volatility_60,0.06128585802
momentum_10,idiosyncratic_volatility_60,-0.03943423059
momentum_10,intraday_range_20,-0.07525874984
momentum_10,drawdown_20,0.6821782754
momentum_10,drawdown_63,0.5163007493
momentum_10,recovery_from_low_20,0.734329425
momentum_10,recovery_from_low_63,0.4909363972
momentum_10,amihud_20,0.03251881769
momentum_10,amount_stability_20,-0.137050759
momentum_10,residual_momentum_20,0.6320658014
momentum_10,residual_momentum_60,0.3388391937
momentum_20,momentum_5,0.4437855215
momentum_20,momentum_10,0.6536971546
momentum_20,momentum_20,1
momentum_20,momentum_63,0.5006449042
momentum_20,momentum_126,0.3449677603
momentum_20,trend_efficiency_20,0.06075155337
momentum_20,trend_efficiency_60,0.1480836472
momentum_20,positive_day_ratio_20,0.5961720282
momentum_20,positive_day_ratio_60,0.3079468127
momentum_20,reversal_1,-0.1779437466
momentum_20,reversal_3,-0.3320965932
momentum_20,reversal_5,-0.4437855215
momentum_20,distance_high_20,0.6167207174
momentum_20,distance_high_60,0.6223341038
momentum_20,distance_low_20,0.7413791302
momentum_20,price_to_ma20,0.8219281089
momentum_20,price_to_ma60,0.7889939792
momentum_20,volume_ratio_5,0.01244738662
momentum_20,volume_ratio_20,0.1356543656
momentum_20,amount_ratio_20,0.2288500158
momentum_20,volume_price_confirmation_20,-0.1189242595
momentum_20,up_down_volume_ratio_20,0.7239242879
momentum_20,volatility_10,-0.2051672006
momentum_20,volatility_20,-0.1782778009
momentum_20,volatility_60,-0.06074315993
momentum_20,downside_volatility_20,0.173903318
momentum_20,downside_volatility_60,0.07350610054
momentum_20,idiosyncratic_volatility_60,-0.08028871159
momentum_20,intraday_range_20,-0.1660864222
momentum_20,drawdown_20,0.6167207174
momentum_20,drawdown_63,0.6172106141
momentum_20,recovery_from_low_20,0.7413791302
momentum_20,recovery_from_low_63,0.6242499163
momentum_20,amihud_20,0.07221424618
momentum_20,amount_stability_20,-0.2050158968
momentum_20,residual_momentum_20,0.9513962464
momentum_20,residual_momentum_60,0.497242266
momentum_63,momentum_5,0.2274739315
momentum_63,momentum_10,0.3334545553
momentum_63,momentum_20,0.5006449042
momentum_63,momentum_63,1
momentum_63,momentum_126,0.6550542515
momentum_63,trend_efficiency_20,0.06966898173
momentum_63,trend_efficiency_60,0.1784048228
momentum_63,positive_day_ratio_20,0.3178123953
momentum_63,positive_day_ratio_60,0.5460954633
momentum_63,reversal_1,-0.09535359248
momentum_63,reversal_3,-0.1743223677
momentum_63,reversal_5,-0.2274739315
momentum_63,distance_high_20,0.2222303425
momentum_63,distance_high_60,0.5442356536
momentum_63,distance_low_20,0.4358464519
