ranking_id,feature_family,window,variant_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,precision_at_k,portfolio_benchmark_hit_rate,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_contributor_name,top_contributor_sector
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,global_top3,20,0.4818870687,-0.007339159856,0.4928432842,-0.304468426,10.33333333,1,0.5555555556,0.6666666667,0.211656066,0.6445148117,688521,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top3,20,-0.270173539,-0.05456349508,-0.2280534365,-0.1858778821,2,0,0.3333333333,0,0.2742122111,0.9389109715,301308,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,global_top5,20,0.3926906855,-0.007339159856,0.4029874346,-0.27439563,9.8,1,0.5833333333,0.75,0.1355793048,0.4440644358,688521,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top5,20,-0.2732276458,-0.05456349508,-0.2312838034,-0.1989180545,2,0,0.3,0,0.1666043434,0.9060351384,002222,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,global_top8,20,0.260227605,-0.007339159856,0.2695449987,-0.2589074263,9.25,1,0.5625,0.75,0.1556651921,0.5783908461,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top8,20,-0.2862016051,-0.05456349508,-0.2450065221,-0.2037128017,1.75,0,0.3125,0,0.1893088346,0.9006490316,688525,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,global_top10,20,0.3510482415,-0.007339159856,0.3610371104,-0.187341989,9.2,1,0.575,0.75,0.1242997779,0.6151869571,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top10,20,-0.2758903216,-0.05456349508,-0.2341001488,-0.1966854234,1.8,0,0.3,0,0.1611288026,0.8525171597,688525,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,global_top15,20,0.2675149233,-0.007339159856,0.2768861952,-0.1538832426,7.933333333,1,0.5388888889,0.8333333333,0.1364831389,0.7796638233,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top15,20,-0.2345807804,-0.05456349508,-0.1904065312,-0.1647868678,1.8,0,0.3333333333,0,0.1113054981,0.6504231558,688525,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,global_top5_sector_cap1,20,0.05491986702,-0.007339159856,0.06271933409,-0.2920320539,9.8,1,0.4666666667,0.5833333333,0.20390803,0.524776132,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top5_sector_cap1,20,-0.06767377301,-0.05456349508,-0.01386690472,-0.07319512444,2,0,0.5,0.5,0.2155507009,0.2941625619,600184,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,global_top5_sector_cap2,20,0.2139721359,-0.007339159856,0.2229475434,-0.3442946378,10.4,1,0.5166666667,0.75,0.136713207,0.6378118494,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,global_top5_sector_cap2,20,-0.1316443733,-0.05456349508,-0.08152940761,-0.1073566464,2,0,0.5,0,0.2373259904,0.7643304723,301308,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,sector_3x1,20,0.4877309944,-0.007339159856,0.4987304165,-0.3433080776,10.66666667,1,0.6388888889,0.6666666667,0.2711916777,0.8204620796,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,sector_3x1,20,-0.07702345488,-0.05456349508,-0.02375618001,-0.08165811759,2,0,0.5,0.5,0.3177918363,0.5495091414,600184,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,sector_4x1,20,0.1915053391,-0.007339159856,0.2003146401,-0.3398457796,10.25,1,0.5416666667,0.5833333333,0.2325518642,0.6574217636,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,sector_4x1,20,-0.04703939694,-0.05456349508,0.007958332584,-0.06473570757,2,1,0.625,0.5,0.2750506116,0.4569151218,600184,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,sector_5x1,20,0.07721547897,-0.007339159856,0.0851797869,-0.3073338239,10.2,1,0.5166666667,0.5833333333,0.2163474243,0.566302709,603629,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H2_PARTIAL,sector_5x1,20,-0.0407893123,-0.05456349508,0.01456912517,-0.07319512444,2,1,0.6,0.5,0.2004538588,0.2617078979,600184,Technology
r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,2026H1,sector_3x2,20,0.3316269801,-0.007339159856,0.3414722595,-0.311482038,9.833333333,1,0.5972222222,0.75,0.1411932558,0.7043037213,603629,Technology
