variant_id,cost_bps,total_return,benchmark_return,relative_excess,max_drawdown,turnover,positive_excess_windows,precision_at_k,portfolio_benchmark_hit_rate,maximum_name_absolute_contribution_share,maximum_sector_absolute_contribution_share,top_contributor_name,top_contributor_sector,ranking_id,feature_family,leave_one_name_relative_excess,leave_one_sector_relative_excess,relative_excess_40bps,support_gate_pass
global_top5_sector_cap2,20,1.880504019,0.3929238159,1.067955179,-0.1770821664,40.8,3,0.528,0.54,0.06683552514,0.4861906902,301308,Technology,r2_industry_relative_rank,momentum_reversal,0.6872747068,0.1932509808,0.9081675098,True
global_top8,20,1.393299702,0.3929238159,0.7181842071,-0.2950138172,37.875,4,0.5075,0.58,0.08377507897,0.528040708,688521,Technology,r2_industry_relative_rank,current_cn_ohlcv,0.4500327343,0.2187219798,0.5945177369,True
sector_5x1,20,1.331156348,0.3929238159,0.6735706009,-0.2041243341,43,3,0.5,0.58,0.08131505653,0.4596587435,301308,Technology,r2_industry_relative_rank,momentum_reversal,0.4362036289,0.07363702156,0.5370326231,True
sector_4x1,20,1.330850008,0.3929238159,0.6733506752,-0.1838196396,43.5,4,0.505,0.58,0.07921355852,0.3594525192,600438,Materials,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.5258658648,0.243465729,0.5359306717,True
global_top5,20,1.231933463,0.3929238159,0.6023370678,-0.2135697256,41.4,3,0.516,0.52,0.09028403162,0.4322170494,002602,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.3663471847,0.2430091709,0.4765884608,True
global_top5_sector_cap1,20,1.231933463,0.3929238159,0.6023370678,-0.2135697256,41.4,3,0.516,0.52,0.09028403162,0.4322170494,002602,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.3663471847,0.2430091709,0.4765884608,True
global_top5_sector_cap2,20,1.231933463,0.3929238159,0.6023370678,-0.2135697256,41.4,3,0.516,0.52,0.09028403162,0.4322170494,002602,Technology,r4_two_stage_hierarchical_rank,momentum_reversal,0.3663471847,0.2430091709,0.4765884608,True
global_top8,20,1.118498085,0.3929238159,0.5209001818,-0.1917461235,37.625,3,0.4875,0.54,0.0593841938,0.3954359548,688521,Technology,r0_cn_x1_0_raw_return_rank,current_cn_ohlcv,0.3825339274,0.2892402252,0.4119055562,True
global_top15,20,1.099769895,0.3929238159,0.5074549458,-0.2786198254,31.8,3,0.4906666667,0.6,0.06006269421,0.4639806098,688521,Technology,r2_industry_relative_rank,current_cn_ohlcv,0.4062649174,0.2093422569,0.4155225244,True
global_top5_sector_cap1,20,1.092335099,0.3929238159,0.5021173986,-0.2367513191,42,3,0.5,0.56,0.0999078395,0.2833266097,601698,Communication Services,r2_industry_relative_rank,current_cn_ohlcv,0.2731314381,0.2065666976,0.38245136,True
