window,datetime,instrument,score,execution_forward_return,entity,sector
2026H2_PARTIAL,2026-07-01,601698,-0.1325106621,-0.07645673348,中国卫通,Communication Services
2026H2_PARTIAL,2026-07-01,300133,-0.1872276515,0.002728510387,华策影视,Communication Services
2026H2_PARTIAL,2026-07-01,002602,-0.1977104247,0.01904763635,世纪华通,Communication Services
2026H2_PARTIAL,2026-07-01,000333,-0.2354323417,0.06219972449,美的集团,Consumer Discretionary
2026H2_PARTIAL,2026-07-01,002594,-0.2664650679,0.1264712768,比亚迪,Consumer Discretionary
2026H2_PARTIAL,2026-07-01,601633,-0.2696407735,0.08390180823,长城汽车,Consumer Discretionary
2026H2_PARTIAL,2026-07-01,603369,-0.08085583895,0.09834706966,今世缘,Consumer Staples
2026H2_PARTIAL,2026-07-01,002311,-0.2076815665,0.04332675486,海大集团,Consumer Staples
2026H2_PARTIAL,2026-07-01,002714,-0.2144293785,0.09504693967,牧原股份,Consumer Staples
2026H2_PARTIAL,2026-07-01,600938,0.07609850168,0.1011406815,中国海油,Energy
2026H2_PARTIAL,2026-07-01,601088,-0.09565072507,0.08800603369,中国神华,Energy
2026H2_PARTIAL,2026-07-01,601857,-0.1637888253,0.1326530745,中国石油,Energy
2026H2_PARTIAL,2026-07-01,300059,0.07977180928,-0.04389772636,东方财富,Financials
2026H2_PARTIAL,2026-07-01,600030,-0.07308465987,-0.01816912797,中信证券,Financials
2026H2_PARTIAL,2026-07-01,601318,-0.2780491114,0.03577269145,中国平安,Financials
2026H2_PARTIAL,2026-07-01,603392,0.0835750699,0.06254443024,万泰生物,Health Care
2026H2_PARTIAL,2026-07-01,603259,0.05280336365,0.04699090523,药明康德,Health Care
2026H2_PARTIAL,2026-07-01,000963,-0.111190252,0.0837571832,华东医药,Health Care
2026H2_PARTIAL,2026-07-01,301291,0.6507356167,0.06641417587,明阳电气,Industrials
2026H2_PARTIAL,2026-07-01,600184,0.4898222685,-0.3651568352,光电股份,Industrials
2026H2_PARTIAL,2026-07-01,600026,0.4006974399,-0.09452733279,中远海能,Industrials
2026H2_PARTIAL,2026-07-01,601600,0.7015627623,0.06242352804,中国铝业,Materials
2026H2_PARTIAL,2026-07-01,601899,0.5729880929,0.1121673326,紫金矿业,Materials
2026H2_PARTIAL,2026-07-01,600547,0.441672802,0.0316666762,山东黄金,Materials
2026H2_PARTIAL,2026-07-01,301666,1.067633986,-0.1076973859,大普微,Technology
2026H2_PARTIAL,2026-07-01,603986,0.6934415698,-0.2593514959,兆易创新,Technology
2026H2_PARTIAL,2026-07-01,688008,0.6372871399,-0.2155964991,澜起科技,Technology
2026H2_PARTIAL,2026-07-01,601985,-0.3678986728,0.006936465001,中国核电,Utilities
2026H2_PARTIAL,2026-07-01,600900,-0.3981695771,0.04770992227,长江电力,Utilities
2026H2_PARTIAL,2026-07-15,601698,0.417549938,-0.1050327919,中国卫通,Communication Services
2026H2_PARTIAL,2026-07-15,601728,-0.1299110353,0.1018675583,中国电信,Communication Services
2026H2_PARTIAL,2026-07-15,002602,-0.156872943,-0.05176134255,世纪华通,Communication Services
2026H2_PARTIAL,2026-07-15,000651,-0.1017378941,0.06628167884,格力电器,Consumer Discretionary
2026H2_PARTIAL,2026-07-15,603899,-0.1442545205,0.06196673248,晨光股份,Consumer Discretionary
2026H2_PARTIAL,2026-07-15,002594,-0.1549506187,0.02185729185,比亚迪,Consumer Discretionary
2026H2_PARTIAL,2026-07-15,000596,-0.08435634524,0.06156839076,古井贡酒,Consumer Staples
2026H2_PARTIAL,2026-07-15,002714,-0.09369475394,-0.02396096138,牧原股份,Consumer Staples
2026H2_PARTIAL,2026-07-15,600887,-0.1443159729,0.06377256257,伊利股份,Consumer Staples
2026H2_PARTIAL,2026-07-15,601857,-0.07673747838,0.1281281998,中国石油,Energy
2026H2_PARTIAL,2026-07-15,601088,-0.1770647168,0.05615900808,中国神华,Energy
2026H2_PARTIAL,2026-07-15,601808,-0.2089390159,0.08647253843,中海油服,Energy
2026H2_PARTIAL,2026-07-15,300059,-0.03732429072,0.008577198734,东方财富,Financials
2026H2_PARTIAL,2026-07-15,000001,-0.113172166,0.07799435127,平安银行,Financials
2026H2_PARTIAL,2026-07-15,600036,-0.1302809864,0.07645344327,招商银行,Financials
2026H2_PARTIAL,2026-07-15,603259,0.1094728187,-0.0119684775,药明康德,Health Care
2026H2_PARTIAL,2026-07-15,000538,0.04412540421,0.01228169991,云南白药,Health Care
2026H2_PARTIAL,2026-07-15,600276,0.01696945168,-0.02393284716,恒瑞医药,Health Care
2026H2_PARTIAL,2026-07-15,600184,0.7320377231,-0.1503841863,光电股份,Industrials
2026H2_PARTIAL,2026-07-15,688676,0.7121090293,-0.01858392064,金盘科技,Industrials
2026H2_PARTIAL,2026-07-15,600522,0.6987021565,-0.2591601708,中天科技,Industrials
2026H2_PARTIAL,2026-07-15,603260,0.7000020742,-0.07399164926,合盛硅业,Materials
2026H2_PARTIAL,2026-07-15,002466,0.688593924,-0.07863804329,天齐锂业,Materials
2026H2_PARTIAL,2026-07-15,002460,0.6846709251,-0.0008004985902,赣锋锂业,Materials
2026H2_PARTIAL,2026-07-15,300408,1.299153924,-0.01459851722,三环集团,Technology
2026H2_PARTIAL,2026-07-15,301308,0.8833985329,-0.2692249586,江波龙,Technology
2026H2_PARTIAL,2026-07-15,688525,0.8680192828,-0.2678101704,佰维存储,Technology
2026H2_PARTIAL,2026-07-15,600900,0.07613404095,0.07431690169,长江电力,Utilities
2026H2_PARTIAL,2026-07-15,601985,-0.1784698367,0.04133176293,中国核电,Utilities
