attribution_type,date,window,evaluation,instrument,entity,sector,state,value,gross_return,weight,periods,transaction_cost
position,2022-07-01,2022H2,historical,000661,长春高新,Health Care,risk_on,-0.02941295657,-0.1156518263,0.25,,
position,2022-07-01,2022H2,historical,002050,三花智控,Industrials,risk_on,0.01035314863,0.04341259451,0.25,,
position,2022-07-01,2022H2,historical,002709,天赐材料,Materials,risk_on,-0.0267846718,-0.1051386872,0.25,,
position,2022-07-01,2022H2,historical,300782,卓胜微,Technology,risk_on,-0.0545433695,-0.216173478,0.25,,
position,2022-07-15,2022H2,historical,000999,华润三九,Health Care,risk_on,-0.01490700052,-0.05812800208,0.25,,
position,2022-07-15,2022H2,historical,002837,英维克,Industrials,risk_on,0.01570686727,0.06432746907,0.25,,
position,2022-07-15,2022H2,historical,300782,卓胜微,Technology,risk_on,-0.01922706193,-0.07540824773,0.25,,
position,2022-07-15,2022H2,historical,603260,合盛硅业,Materials,risk_on,-0.01514098203,-0.05906392812,0.25,,
position,2022-07-29,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.002715983248,-0.0007159832477,1,,
position,2022-08-12,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.02297314212,-0.02297314212,1,,
position,2022-08-26,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.005280383278,0.005280383278,1,,
position,2022-09-09,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.05322650912,-0.05322650912,1,,
position,2022-09-26,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.01388071385,-0.01388071385,1,,
position,2022-10-17,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.0531734737,-0.0531734737,1,,
position,2022-10-31,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.06378336931,0.06378336931,1,,
position,2022-11-14,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.004539809694,-0.004539809694,1,,
position,2022-11-28,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,0.02527238075,0.02527238075,1,,
position,2022-12-12,2022H2,historical,000300,CSI300 fallback,CSI300,risk_off,-0.0146557478,-0.0146557478,1,,
position,2022-12-26,2022H2,historical,000999,华润三九,Health Care,risk_on,0.01273031282,0.05292125129,0.25,,
position,2022-12-26,2022H2,historical,600026,中远海能,Industrials,risk_on,-0.0005,0,0.25,,
position,2022-12-26,2022H2,historical,601318,中国平安,Financials,risk_on,0.02760611253,0.1124244501,0.25,,
position,2022-12-26,2022H2,historical,603806,福斯特,Materials,risk_on,0.02069297254,0.08477189015,0.25,,
position,2023-01-03,2023H1,historical,000999,华润三九,Health Care,risk_on,-0.01272618539,-0.04990474156,0.25,,
position,2023-01-03,2023H1,historical,002463,沪电股份,Technology,risk_on,0.00441497599,0.01865990396,0.25,,
position,2023-01-03,2023H1,historical,603806,福斯特,Materials,risk_on,0.0292940242,0.1181760968,0.25,,
position,2023-01-03,2023H1,historical,688676,金盘科技,Industrials,risk_on,0.005054008165,0.02121603266,0.25,,
position,2023-01-17,2023H1,historical,000858,五粮液,Consumer Staples,risk_on,-0.008100444535,-0.03040177814,0.25,,
position,2023-01-17,2023H1,historical,300033,同花顺,Technology,risk_on,0.01058946562,0.0443578625,0.25,,
position,2023-01-17,2023H1,historical,300750,宁德时代,Industrials,risk_on,-0.001224228395,-0.002896913579,0.25,,
position,2023-01-17,2023H1,historical,603799,华友钴业,Materials,risk_on,-0.0001677112772,0.001329154891,0.25,,
position,2023-02-07,2023H1,historical,000977,浪潮信息,Technology,risk_on,0.1017471709,0.4089886838,0.25,,
position,2023-02-07,2023H1,historical,002602,世纪华通,Communication Services,risk_on,0.008780733732,0.03712293493,0.25,,
position,2023-02-07,2023H1,historical,601872,招商轮船,Industrials,risk_on,-0.002084784557,-0.006339138228,0.25,,
position,2023-02-07,2023H1,historical,603993,洛阳钼业,Materials,risk_on,0.01295083344,0.05380333377,0.25,,
position,2023-02-21,2023H1,historical,000977,浪潮信息,Technology,risk_on,-0.01819258931,-0.07177035725,0.25,,
position,2023-02-21,2023H1,historical,600031,三一重工,Industrials,risk_on,-0.01393915619,-0.05475662474,0.25,,
position,2023-02-21,2023H1,historical,601728,中国电信,Communication Services,risk_on,0.03388653743,0.1365461497,0.25,,
position,2023-02-21,2023H1,historical,603993,洛阳钼业,Materials,risk_on,-0.007292247018,-0.02816898807,0.25,,
position,2023-03-07,2023H1,historical,000425,徐工机械,Industrials,risk_on,-0.01882061088,-0.07328244353,0.25,,
position,2023-03-07,2023H1,historical,300548,长芯博创,Technology,risk_on,0.03423103235,0.1389241294,0.25,,
position,2023-03-07,2023H1,historical,600938,中国海油,Energy,risk_on,-0.01828720911,-0.07114883644,0.25,,
